ts_code,revenue,oper_cost
301101.SZ,409921565.38,178022326.8
301101.SZ,409921565.38,178022326.8
301101.SZ,271860173.97,118639983.02
301101.SZ,271860173.97,118639983.02
301101.SZ,539681448.04,243117055.52
301101.SZ,539681448.04,243117055.52
301101.SZ,373295381.1,168252645.48
301101.SZ,373295381.1,168252645.48
301101.SZ,246892633.82,114110433.47
301101.SZ,246892633.82,114110433.47
301101.SZ,552501240.86,271376176.25
301101.SZ,552501240.86,271376176.25
301101.SZ,509418482.07,283520426.35
301101.SZ,509418482.07,283520426.35
301101.SZ,426268197.15,259965678.98
