ts_code,revenue,oper_cost
603216.SH,961863083.61,632740704.03
603216.SH,961863083.61,632740704.03
603216.SH,538376762.33,347048268.4
603216.SH,538376762.33,347048268.4
603216.SH,1226754525.87,760639087.28
603216.SH,1226754525.87,760639087.28
603216.SH,724446119.56,463620622.01
603216.SH,372955903.94,243001688.6
603216.SH,372955903.94,243001688.6
603216.SH,1348052343.84,832373351.08
603216.SH,1348052343.84,832373351.08
603216.SH,1348052343.84,832373351.08
603216.SH,1344563894.41,904178761.82
603216.SH,1344563894.41,904178761.82
603216.SH,1344563894.41,904178761.82
603216.SH,1482138292.78,1068938992.13
603216.SH,1482138292.78,1068938992.13
