ts_code,revenue,oper_cost
605117.SH,3028882064.62,2360746183.41
605117.SH,3028882064.62,2360746183.41
605117.SH,1925286704.49,1525582128.08
605117.SH,864583513.6,697234363.2
605117.SH,3023631003.26,2339066384.79
605117.SH,3023631003.26,2339066384.79
605117.SH,2233939669.53,1736684277.31
605117.SH,2233939669.53,1736684277.31
605117.SH,1441460059.38,1110371804.06
605117.SH,1441460059.38,1110371804.06
605117.SH,520135328.76,413874067.71
605117.SH,2570013562.19,2026146599.56
605117.SH,2570013562.19,2026146599.56
605117.SH,1690625984.49,1366292779.29
605117.SH,1690625984.49,1366292779.29
605117.SH,1506120957.23,1182171096.39
605117.SH,1506120957.23,1182171096.39
