ts_code,revenue,oper_cost
688226.SH,919886354.2,743369588.23
688226.SH,557377416.16,445915279.31
688226.SH,265142144.08,210785178.31
688226.SH,265142144.08,210785178.31
688226.SH,948032712.66,734544621.77
688226.SH,948032712.66,734544621.77
688226.SH,625051623.06,482540122.75
688226.SH,625051623.06,482540122.75
688226.SH,328995821.41,253848862.26
688226.SH,328995821.41,253848862.26
688226.SH,112005695.62,89689960.88
688226.SH,908174093.31,685538500.28
688226.SH,908174093.31,685538500.28
688226.SH,934617904.92,696934447.21
688226.SH,934617904.92,696934447.21
