ts_code,revenue,oper_cost
001213.SZ,6303000826.04,5832570065.02
001213.SZ,6303000826.04,5832570065.02
001213.SZ,4407015621.19,4097906556.43
001213.SZ,2219298545.3,2031223884.31
001213.SZ,8457956835.97,7834175930.82
001213.SZ,8457956835.97,7834175930.82
001213.SZ,5553172434.89,5047216966.33
001213.SZ,5553172434.89,5047216966.33
001213.SZ,3435404033.66,3178601565.17
001213.SZ,3435404033.66,3178601565.17
001213.SZ,1343453769.85,1362271631.74
001213.SZ,8647210501.4,7868949504.96
001213.SZ,8647210501.4,7868949504.96
001213.SZ,7884495438.58,7264616729.16
