ts_code,revenue,oper_cost
301116.SZ,11822253872.33,11437682754.54
301116.SZ,11822253872.33,11437682754.54
301116.SZ,7723802529.4,7464256596.2
301116.SZ,14391930209.78,13904570913.49
301116.SZ,14391930209.78,13904570913.49
301116.SZ,10226222498.36,9922819949.82
301116.SZ,6457339948.87,6232015540.18
301116.SZ,6457339948.87,6232015540.18
301116.SZ,15553755398.27,14696293730.38
301116.SZ,15553755398.27,14696293730.38
301116.SZ,9904847040.73,9403569548.9
301116.SZ,9904847040.73,9403569548.9
301116.SZ,7521365054.65,7186855005.19
