ts_code,revenue,oper_cost
301185.SZ,116155025.2,37803535.98
301185.SZ,116155025.2,37803535.98
301185.SZ,83316799.99,26019541.37
301185.SZ,16818236.34,4318192.93
301185.SZ,154186213.37,47737360.6
301185.SZ,154186213.37,47737360.6
301185.SZ,78179891.02,22805415.67
301185.SZ,78179891.02,22805415.67
301185.SZ,78179891.02,22805415.67
301185.SZ,14303736.85,3742931.85
301185.SZ,175170485.71,53116367.93
301185.SZ,175170485.71,53116367.93
301185.SZ,168626428.24,57936464.64
301185.SZ,146260908.13,55384331.94
