ts_code,revenue,oper_cost
605289.SH,423130270.92,292789047.75
605289.SH,252711024.6,170213461.68
605289.SH,41638391.56,28713816.37
605289.SH,600653195.43,358938926.33
605289.SH,600653195.43,358938926.33
605289.SH,275718451.25,158248138.91
605289.SH,275718451.25,158248138.91
605289.SH,161163979.9,88245846.43
605289.SH,161163979.9,88245846.43
605289.SH,30263050.22,14391646.52
605289.SH,693024754.83,410419825.67
605289.SH,693024754.83,410419825.67
605289.SH,611673634.1,361925137.19
605289.SH,611673634.1,361925137.19
605289.SH,346273046.86,175975881.51
605289.SH,346273046.86,175975881.51
