ts_code,revenue,oper_cost
301110.SZ,574235198.31,357854555.11
301110.SZ,388072034.17,237784275.88
301110.SZ,174023997.73,105988589.01
301110.SZ,174023997.73,105988589.01
301110.SZ,879526064.93,464004860.42
301110.SZ,879526064.93,464004860.42
301110.SZ,879526064.93,464004860.42
301110.SZ,601863619.59,328395073.23
301110.SZ,429908529.71,222962594.79
301110.SZ,218352832.61,122542839.4
301110.SZ,648701980.39,334378636.64
301110.SZ,648701980.39,334378636.64
301110.SZ,361214792.86,203889175.99
301110.SZ,361214792.86,203889175.99
301110.SZ,305544646.25,175890141.87
