ts_code,revenue,oper_cost
688633.SH,373797721.59,217123388.45
688633.SH,245251216.75,140308375.91
688633.SH,124825039.21,70922494.46
688633.SH,559568407.11,305547315.06
688633.SH,559568407.11,305547315.06
688633.SH,330542100.31,184144725.31
688633.SH,330542100.31,184144725.31
688633.SH,220938434.13,123423123.56
688633.SH,220938434.13,123423123.56
688633.SH,81103028.83,43180446.53
688633.SH,480965203.56,237432653.0
688633.SH,480965203.56,237432653.0
688633.SH,419860155.99,221114001.26
688633.SH,419860155.99,221114001.26
688633.SH,297012908.54,156666872.56
688633.SH,297012908.54,156666872.56
