ts_code,revenue,oper_cost
688609.SH,1828291846.64,1489581565.91
688609.SH,1163242139.74,943398623.65
688609.SH,487986918.39,404442741.73
688609.SH,2027841564.91,1631534637.89
688609.SH,2027841564.91,1631534637.89
688609.SH,1350041061.21,1103849692.3
688609.SH,1350041061.21,1103849692.3
688609.SH,1038157515.52,849882926.93
688609.SH,1038157515.52,849882926.93
688609.SH,343592026.52,287305125.49
688609.SH,2436528866.71,1885539499.35
688609.SH,2436528866.71,1885539499.35
688609.SH,3061664100.54,2669390050.68
688609.SH,3061664100.54,2669390050.68
688609.SH,2413540738.55,2116312301.26
688609.SH,2413540738.55,2116312301.26
