ts_code,revenue,oper_cost
688316.SH,294774584.38,290541272.33
688316.SH,248683638.08,244392826.82
688316.SH,87518081.4,89189034.47
688316.SH,428610865.29,382480561.02
688316.SH,428610865.29,382480561.02
688316.SH,242684830.76,228733885.29
688316.SH,144132893.67,130251392.64
688316.SH,144132893.67,130251392.64
688316.SH,61031038.71,59289260.72
688316.SH,376821958.15,329682851.31
688316.SH,376821958.15,329682851.31
688316.SH,275491552.34,245206611.06
688316.SH,281761173.84,250728610.21
688316.SH,281761173.84,250728610.21
688316.SH,239238504.04,185965236.26
688316.SH,239238504.04,185965236.26
