ts_code,revenue,oper_cost
688337.SH,414323116.38,199369339.02
688337.SH,261472459.99,125554888.58
688337.SH,116656197.06,53815627.89
688337.SH,116656197.06,53815627.89
688337.SH,483941809.91,239140546.47
688337.SH,483941809.91,239140546.47
688337.SH,329242546.45,165132951.0
688337.SH,329242546.45,165132951.0
688337.SH,212143084.12,98533653.43
688337.SH,92381119.59,46394789.21
688337.SH,354207185.43,173846603.74
688337.SH,354207185.43,173846603.74
688337.SH,303889734.99,151180365.55
688337.SH,303889734.99,151180365.55
688337.SH,292138145.64,138718178.63
