ts_code,revenue,oper_cost
300959.SZ,976829975.69,874088359.8
300959.SZ,976829975.69,874088359.8
300959.SZ,640943096.35,570396298.9
300959.SZ,334238927.42,296301419.28
300959.SZ,1102018652.72,966342094.63
300959.SZ,1102018652.72,966342094.63
300959.SZ,759417902.34,669315848.06
300959.SZ,759417902.34,669315848.06
300959.SZ,428792295.41,373291955.99
300959.SZ,428792295.41,373291955.99
300959.SZ,204681586.9,173016302.75
300959.SZ,532340826.25,438082742.46
300959.SZ,532340826.25,438082742.46
300959.SZ,458751686.5,368952807.51
300959.SZ,276023042.8,215785348.56
