ts_code,revenue,oper_cost
920725.BJ,379946382.32,280271969.06
920725.BJ,379946382.32,280271969.06
920725.BJ,267865090.18,192664176.53
920725.BJ,108762814.62,83191512.81
920725.BJ,431442552.86,304174325.01
