ts_code,revenue,oper_cost
688115.SH,203952091.33,61268855.92
688115.SH,169215796.8,49472136.95
688115.SH,54923916.83,15781953.96
688115.SH,54923916.83,15781953.96
688115.SH,222245139.46,59745467.62
688115.SH,222245139.46,59745467.62
688115.SH,154040707.31,35373940.03
688115.SH,154040707.31,35373940.03
688115.SH,116973624.68,24376658.15
688115.SH,31882859.11,9039573.52
688115.SH,188701597.6,41926111.1
688115.SH,188701597.6,41926111.1
688115.SH,151577112.29,31325262.01
688115.SH,118599612.44,28095050.53
688115.SH,118599612.44,28095050.53
688115.SH,121364703.03,27915369.21
