ts_code,revenue,oper_cost
301017.SZ,3714918717.89,2589764624.08
301017.SZ,3714918717.89,2589764624.08
301017.SZ,2479085397.97,1744457165.26
301017.SZ,1184719395.97,847891992.03
301017.SZ,1184719395.97,847891992.03
301017.SZ,4639809187.2,3242774386.79
301017.SZ,4639809187.2,3242774386.79
301017.SZ,3336560975.81,2323135380.92
301017.SZ,3336560975.81,2323135380.92
301017.SZ,1120011906.83,804118523.62
301017.SZ,3466803445.88,2313335804.33
301017.SZ,3466803445.88,2313335804.33
301017.SZ,2887740849.37,1840962639.54
