ts_code,revenue,oper_cost
605298.SH,207476544.46,84327029.12
605298.SH,158843642.42,64340401.77
605298.SH,57813587.75,26811225.72
605298.SH,347499597.89,170091068.58
605298.SH,347499597.89,170091068.58
605298.SH,229497908.94,112510968.5
605298.SH,229497908.94,112510968.5
605298.SH,157047094.12,79597321.23
605298.SH,157047094.12,79597321.23
605298.SH,40530833.63,22601820.0
605298.SH,312808137.56,115746988.47
605298.SH,312808137.56,115746988.47
605298.SH,282503620.67,106299750.83
605298.SH,282503620.67,106299750.83
605298.SH,201445676.29,83161932.35
605298.SH,201445676.29,83161932.35
