ts_code,revenue,oper_cost
301268.SZ,2080495724.93,1651241676.41
301268.SZ,1279199544.62,1027825536.82
301268.SZ,576615740.22,460632765.76
301268.SZ,576615740.22,460632765.76
301268.SZ,1837744543.64,1486144746.63
301268.SZ,1837744543.64,1486144746.63
301268.SZ,1837744543.64,1486144746.63
301268.SZ,1246281571.99,1000437925.82
301268.SZ,370349075.56,299411931.71
301268.SZ,1516493458.93,1190692309.66
301268.SZ,1516493458.93,1190692309.66
301268.SZ,1360932975.43,1042332344.8
301268.SZ,1360932975.43,1042332344.8
301268.SZ,942122044.9,692515471.35
