ts_code,revenue,oper_cost
688153.SH,1777497364.85,1235858367.83
688153.SH,1777497364.85,1235858367.83
688153.SH,1311581903.16,911680580.89
688153.SH,856361433.35,600620889.39
688153.SH,856361433.35,600620889.39
688153.SH,3508560728.15,2534483063.05
688153.SH,3508560728.15,2534483063.05
688153.SH,2751046132.11,1987644106.67
688153.SH,1701891845.77,1248995589.58
688153.SH,841076497.32,635848798.81
688153.SH,1810446974.3,1485935595.23
688153.SH,1810446974.3,1485935595.23
688153.SH,581422709.54,476520179.68
688153.SH,581422709.54,476520179.68
688153.SH,284016280.68,221833795.54
