ts_code,revenue,oper_cost
605398.SH,385422779.59,230843702.65
605398.SH,385422779.59,230843702.65
605398.SH,242601439.49,138780875.71
605398.SH,99544184.81,57860891.08
605398.SH,560976966.38,331967972.07
605398.SH,560976966.38,331967972.07
605398.SH,371202500.31,226501284.45
605398.SH,239608267.83,135035766.64
605398.SH,239608267.83,135035766.64
605398.SH,80867360.96,48162126.54
605398.SH,554292863.41,324595565.59
605398.SH,554292863.41,324595565.59
605398.SH,527706158.96,324060660.05
605398.SH,383747518.63,197274260.27
