ts_code,revenue,oper_cost
301109.SZ,1201918880.48,522261018.79
301109.SZ,813601240.29,376587522.85
301109.SZ,361487622.23,156231344.83
301109.SZ,2063388888.19,1271046920.44
301109.SZ,2063388888.19,1271046920.44
301109.SZ,2054547868.23,1271046920.44
301109.SZ,2054547868.23,1271046920.44
301109.SZ,1641732745.58,1069428887.08
301109.SZ,1129080383.15,803907564.9
301109.SZ,549287895.42,398614890.85
301109.SZ,1101327726.54,394620396.21
301109.SZ,1101327726.54,394620396.21
301109.SZ,995862100.91,404135992.32
301109.SZ,995862100.91,404135992.32
301109.SZ,841477165.37,352038080.42
