ts_code,revenue,oper_cost
605162.SH,515796473.1,381452405.59
605162.SH,515796473.1,381452405.59
605162.SH,330880797.78,232512679.93
605162.SH,141506212.22,105307471.09
605162.SH,141506212.22,105307471.09
605162.SH,570987274.04,336559773.84
605162.SH,570987274.04,336559773.84
605162.SH,387482403.36,230025465.81
605162.SH,387482403.36,230025465.81
605162.SH,242366746.87,146420065.41
605162.SH,242366746.87,146420065.41
605162.SH,649996923.16,396684924.53
605162.SH,649996923.16,396684924.53
605162.SH,619440476.81,409580686.2
