ts_code,revenue,oper_cost
301160.SZ,884410194.85,705131779.49
301160.SZ,557382565.58,445280221.04
301160.SZ,557382565.58,445280221.04
301160.SZ,296802242.59,236472791.3
301160.SZ,296802242.59,236472791.3
301160.SZ,1063003585.7,826618629.57
301160.SZ,1063003585.7,826618629.57
301160.SZ,1063003585.7,826618629.57
301160.SZ,741425238.71,578573782.06
301160.SZ,234975326.88,180106460.08
301160.SZ,234975326.88,180106460.08
301160.SZ,711811387.16,559882769.45
301160.SZ,711811387.16,559882769.45
301160.SZ,571619676.19,443482553.6
301160.SZ,571619676.19,443482553.6
