ts_code,revenue,oper_cost
688281.SH,430844786.27,177849935.14
688281.SH,270383203.52,112801925.46
688281.SH,142165046.74,58497631.59
688281.SH,142165046.74,58497631.59
688281.SH,511851977.02,210815712.73
688281.SH,511851977.02,210815712.73
688281.SH,310755185.28,130891365.4
688281.SH,310755185.28,130891365.4
688281.SH,196946141.41,83480893.68
688281.SH,46834978.54,17801389.64
688281.SH,413864689.11,149018532.97
688281.SH,413864689.11,149018532.97
688281.SH,185562643.01,67225216.48
688281.SH,116766622.31,43436943.42
688281.SH,116766622.31,43436943.42
688281.SH,47560898.6,20150762.86
