ts_code,revenue,oper_cost
603324.SH,791351916.82,581579989.0
603324.SH,445306330.09,317335012.9
603324.SH,176143140.04,129919042.32
603324.SH,937742067.28,676894628.34
603324.SH,937742067.28,676894628.34
603324.SH,471609831.83,332362168.02
603324.SH,471609831.83,332362168.02
603324.SH,377825625.94,269116930.52
603324.SH,377825625.94,269116930.52
603324.SH,146855609.28,115170990.59
603324.SH,885709412.41,614603211.43
603324.SH,885709412.41,614603211.43
603324.SH,871531066.96,617530177.09
603324.SH,871531066.96,617530177.09
603324.SH,516954461.16,386714973.32
603324.SH,516954461.16,386714973.32
