ts_code,revenue,oper_cost
301048.SZ,1779574871.7,1477640140.71
301048.SZ,1779574871.7,1477640140.71
301048.SZ,1280309838.88,1053982322.39
301048.SZ,662611789.02,545158635.83
301048.SZ,662611789.02,545158635.83
301048.SZ,2595238284.8,2144816773.76
301048.SZ,2595238284.8,2144816773.76
301048.SZ,1674881710.53,1331800898.67
301048.SZ,1674881710.53,1331800898.67
301048.SZ,1129177596.3,910253283.36
301048.SZ,1129177596.3,910253283.36
301048.SZ,91655276.92,73116056.07
301048.SZ,2635340550.72,2182221165.84
301048.SZ,2635340550.72,2182221165.84
301048.SZ,2198206232.63,1780995985.59
301048.SZ,2009587713.61,1587913449.42
