ts_code,revenue,oper_cost
301085.SZ,837515988.22,703473325.33
301085.SZ,837515988.22,703473325.33
301085.SZ,498736771.86,412918268.32
301085.SZ,1212256517.72,1016750419.54
301085.SZ,1212256517.72,1016750419.54
301085.SZ,918017602.74,762787052.9
301085.SZ,918017602.74,762787052.9
301085.SZ,591689319.86,493891874.12
301085.SZ,591689319.86,493891874.12
301085.SZ,1347535120.08,1171152120.17
301085.SZ,1347535120.08,1171152120.17
301085.SZ,1092157494.98,963571934.94
301085.SZ,789991127.77,697185709.67
