ts_code,revenue,oper_cost
605588.SH,1081463327.67,944302254.55
605588.SH,763714265.83,665254814.48
605588.SH,371602479.62,322731774.57
605588.SH,371602479.62,322731774.57
605588.SH,1105470090.29,931899534.36
605588.SH,1105470090.29,931899534.36
605588.SH,757123977.66,641553907.42
605588.SH,757123977.66,641553907.42
605588.SH,477052322.93,405160339.97
605588.SH,477052322.93,405160339.97
605588.SH,196017476.22,164018308.36
605588.SH,835424705.21,650917040.44
605588.SH,835424705.21,650917040.44
605588.SH,449973970.45,317056228.95
605588.SH,449973970.45,317056228.95
