ts_code,revenue,oper_cost
300965.SZ,144797343.52,55465659.77
300965.SZ,88537731.05,31216906.44
300965.SZ,43519350.65,15058544.35
300965.SZ,213710100.39,68423508.59
300965.SZ,213710100.39,68423508.59
300965.SZ,138157211.29,39740469.2
300965.SZ,138157211.29,39740469.2
300965.SZ,105773459.45,26675194.98
300965.SZ,105773459.45,26675194.98
300965.SZ,40417134.75,11314611.59
300965.SZ,190435668.48,60301099.23
300965.SZ,190435668.48,60301099.23
300965.SZ,134815204.23,46846782.51
300965.SZ,156126187.18,49403106.42
300965.SZ,156126187.18,49403106.42
