ts_code,revenue,oper_cost
300940.SZ,773606077.02,671714045.39
300940.SZ,773606077.02,671714045.39
300940.SZ,562879275.09,495811309.14
300940.SZ,306364463.13,275419731.78
300940.SZ,1058114321.42,869920664.54
300940.SZ,1058114321.42,869920664.54
300940.SZ,713684270.91,577472255.04
300940.SZ,387772699.91,318496552.96
300940.SZ,387772699.91,318496552.96
300940.SZ,177218867.23,145773653.26
300940.SZ,994411327.97,800114022.83
300940.SZ,994411327.97,800114022.83
300940.SZ,778098784.7,625280466.86
300940.SZ,562351054.65,445595832.84
