ts_code,revenue,oper_cost
688193.SH,240095689.86,73282615.69
688193.SH,169661995.8,54203179.29
688193.SH,93280166.18,28784788.62
688193.SH,93280166.18,28784788.62
688193.SH,292306247.3,74178620.71
688193.SH,292306247.3,74178620.71
688193.SH,223558205.6,54565291.36
688193.SH,140134514.79,32755039.97
688193.SH,86825799.85,19491054.87
688193.SH,249903353.74,60296523.58
688193.SH,249903353.74,60296523.58
688193.SH,99168053.15,11036180.75
688193.SH,99168053.15,11036180.75
688193.SH,69343387.04,8193620.6
