ts_code,revenue,oper_cost
300962.SZ,229842284.49,84900840.64
300962.SZ,229842284.49,84900840.64
300962.SZ,147347563.2,55608966.98
300962.SZ,68551289.98,25776045.74
300962.SZ,255963220.94,110408499.86
300962.SZ,255963220.94,110408499.86
300962.SZ,181993794.8,76014100.72
300962.SZ,181993794.8,76014100.72
300962.SZ,112426661.13,49728420.45
300962.SZ,112426661.13,49728420.45
300962.SZ,42157957.36,24312527.01
300962.SZ,253259661.68,109769042.37
300962.SZ,253259661.68,109769042.37
300962.SZ,243689428.22,110037927.38
300962.SZ,214210348.0,93936020.55
