ts_code,revenue,oper_cost
603102.SH,519223878.36,324558581.97
603102.SH,328035576.35,200101609.05
603102.SH,146138526.49,85088409.34
603102.SH,661874435.29,386832980.59
603102.SH,661874435.29,386832980.59
603102.SH,470021184.6,255083122.76
603102.SH,470021184.6,255083122.76
603102.SH,306262464.98,170957610.24
603102.SH,306262464.98,170957610.24
603102.SH,144524399.77,80454547.03
603102.SH,578287203.18,325393733.51
603102.SH,578287203.18,325393733.51
603102.SH,417976823.75,233362082.99
603102.SH,499631375.09,295552174.21
603102.SH,499631375.09,295552174.21
603102.SH,507481988.49,310163651.12
603102.SH,507481988.49,310163651.12
