ts_code,revenue,oper_cost
688772.SH,7653706160.65,5646803499.96
688772.SH,7653706160.65,5646803499.96
688772.SH,5085688517.62,3724339441.03
688772.SH,6964153340.67,4793691694.72
688772.SH,6964153340.67,4793691694.72
688772.SH,4695838527.94,3206750254.62
688772.SH,4695838527.94,3206750254.62
688772.SH,2696158754.73,1886708910.47
688772.SH,2696158754.73,1886708910.47
688772.SH,5331050766.32,3824278893.96
688772.SH,5331050766.32,3824278893.96
688772.SH,4746950927.15,3944117734.66
688772.SH,4746950927.15,3944117734.66
