ts_code,revenue,oper_cost
301256.SZ,801715694.16,678050601.6
301256.SZ,801715694.16,678050601.6
301256.SZ,436620098.5,372220104.83
301256.SZ,161564904.21,142865303.12
301256.SZ,161564904.21,142865303.12
301256.SZ,644384542.46,479811608.66
301256.SZ,644384542.46,479811608.66
301256.SZ,644384542.46,479811608.66
301256.SZ,443689774.48,322937648.01
301256.SZ,316642018.14,228662967.37
301256.SZ,144758061.73,101391449.6
301256.SZ,946032673.09,743541193.83
301256.SZ,946032673.09,743541193.83
301256.SZ,1033931684.39,795081381.95
301256.SZ,1033931684.39,795081381.95
301256.SZ,966315865.54,786584631.52
