ts_code,revenue,oper_cost
001309.SZ,834614173.22,670536434.94
001309.SZ,834614173.22,670536434.94
001309.SZ,536706429.7,426463788.78
001309.SZ,247996841.35,195362225.57
001309.SZ,247996841.35,195362225.57
001309.SZ,1079781478.82,860693926.89
001309.SZ,1079781478.82,860693926.89
001309.SZ,720908102.25,579914259.13
001309.SZ,214730352.14,172773982.51
001309.SZ,214730352.14,172773982.51
001309.SZ,834708606.82,645543076.64
001309.SZ,834708606.82,645543076.64
001309.SZ,645645294.82,518492680.0
001309.SZ,645645294.82,518492680.0
