ts_code,revenue,oper_cost
688682.SH,156421797.85,98249476.52
688682.SH,156421797.85,98249476.52
688682.SH,87743651.85,57667659.51
688682.SH,44870196.25,30704025.03
688682.SH,229198669.52,139576623.61
688682.SH,229198669.52,139576623.61
688682.SH,126706651.05,83678213.26
688682.SH,63165660.66,42867525.22
688682.SH,63165660.66,42867525.22
688682.SH,33631750.75,21804380.26
688682.SH,168735822.23,101178604.48
688682.SH,168735822.23,101178604.48
688682.SH,99386203.6,64909600.62
688682.SH,155442314.42,95151765.86
688682.SH,155442314.42,95151765.86
688682.SH,97879238.97,55008587.61
688682.SH,97879238.97,55008587.61
