ts_code,revenue,oper_cost
301120.SZ,338022292.05,215687453.79
301120.SZ,338022292.05,215687453.79
301120.SZ,208750708.79,130211650.87
301120.SZ,89669779.36,60454038.47
301120.SZ,407994883.97,262361609.84
301120.SZ,407994883.97,262361609.84
301120.SZ,280608428.31,183908866.61
301120.SZ,163322004.39,106649085.23
301120.SZ,62707774.92,41934029.37
301120.SZ,340693354.02,200718040.5
301120.SZ,340693354.02,200718040.5
301120.SZ,270900571.2,151907634.22
301120.SZ,270900571.2,151907634.22
301120.SZ,246688578.78,149261047.0
