ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
920768.BJ,20260518,12.19,1.2787,1.6935,0.73,25.0438,23.0312,1.8753,0.7409,0.7169,,,11097.0,7649.4286,5776.1547,135272.43,93246.5346
920856.BJ,20260518,11.73,1.5266,2.567,0.9,64.2837,220.3861,2.3787,2.6435,2.9802,0.775,0.775,9512.6628,5306.0037,3155.6521,111583.5346,62239.4234
920961.BJ,20260518,19.78,1.5258,1.9522,0.62,811.5288,,3.7604,13.8185,15.1162,0.2528,0.2528,14284.0508,10395.035,8124.6845,282538.5248,205613.7923
920000.BJ,20260518,15.7,1.1706,2.1569,0.85,21.7659,21.4696,2.1331,3.366,3.3697,0.9554,0.4459,9168.0,5759.3925,3125.645,143937.6,90422.4623
920225.BJ,20260518,24.99,2.7548,3.3411,0.69,38.1053,55.5559,4.3556,6.8735,7.1742,0.8003,0.4002,12691.8894,8278.2154,6825.4768,317170.3161,206872.6028
920278.BJ,20260518,7.62,1.3149,1.4336,0.8,68.3492,96.3508,3.4536,4.4309,4.4221,2.6247,2.6247,17450.0,7404.8,6791.69,132969.0,56424.576
920566.BJ,20260518,10.52,0.7962,0.8758,0.57,18.2879,16.776,1.7821,3.6063,3.513,1.9011,1.9011,14546.338,11234.6561,10213.4429,153027.4758,118188.5822
920735.BJ,20260518,26.21,0.9616,1.4042,0.59,14.2757,13.7494,2.5712,3.1976,3.0837,1.0637,1.3874,12904.7589,11413.2954,7816.0248,338233.7308,299142.4724
920885.BJ,20260518,17.73,2.5109,3.7096,0.84,89.3717,108.013,7.3565,15.3286,14.8741,0.2525,0.2525,17081.99,8850.3196,5990.3906,302863.6827,156916.1665
920509.BJ,20260518,32.05,3.0397,4.4355,0.75,74.4331,72.8201,13.4749,22.1553,21.6843,0.7807,0.7807,16030.5696,8398.5512,5755.6852,513779.7557,269173.566
920523.BJ,20260518,21.93,1.3044,1.6868,0.84,15.2974,16.2985,3.0224,4.257,4.2131,1.368,1.368,10130.1369,8103.9512,6266.6649,222153.9022,177719.6498
920021.BJ,20260518,10.49,7.1255,8.6126,0.84,321.8434,228.6873,4.9943,8.1763,8.2567,,,30899.9983,24755.4673,20480.9989,324140.9822,259684.852
920415.BJ,20260518,12.11,1.9496,2.6941,1.1,68.5833,61.1388,3.0474,9.8077,9.6028,0.2868,0.2868,14051.1487,10823.1343,7832.1013,170159.4108,131068.1564
920599.BJ,20260518,18.12,1.0706,1.5982,1.05,9.985,9.9676,2.1971,1.3118,1.3147,3.7798,3.7798,46252.5,35057.4346,23484.5954,838095.3,635240.715
920682.BJ,20260518,8.66,1.7651,2.4603,0.38,29.0822,32.2065,2.412,0.7371,0.7054,1.9246,,32448.0,18817.2322,13500.1084,280999.68,162957.2309
920174.BJ,20260518,39.54,2.7592,3.1687,0.65,43.107,38.0268,3.2147,6.1239,5.0435,,,21690.4891,5527.6486,4813.3629,857641.939,218563.2256
920184.BJ,20260518,15.15,1.1516,1.5781,0.51,92.3616,93.5179,3.1851,8.2835,8.0023,,,13261.3709,8936.7852,6521.5597,200909.7691,135392.2958
920185.BJ,20260518,28.72,0.6232,2.31,0.76,37.3554,38.0354,2.5362,1.9248,1.826,1.3681,1.3681,113819.0398,111945.9717,30198.5729,3268882.8231,3215088.3072
920368.BJ,20260518,43.98,5.9377,9.4401,0.74,121.8568,595.2035,2.4387,4.723,5.4634,0.3411,0.3411,23478.044,22336.9034,14049.5954,1032564.3751,982377.0115
920508.BJ,20260518,18.9,1.3432,2.1341,0.66,537.8524,445.853,5.8819,12.69,12.6431,0.8818,0.8818,6000.0,3190.5925,2008.08,113400.0,60302.1983
920640.BJ,20260518,35.13,2.3886,4.6357,0.72,84.8483,84.5505,7.0195,7.4845,7.1993,0.2847,0.2847,18772.8,18061.8306,9306.653,659488.464,634512.109
920670.BJ,20260518,15.7,3.4785,4.2237,0.5,203.6964,488.3616,7.0705,16.7284,17.0996,,0.3822,10618.24,6663.3608,5487.7099,166706.368,104614.7646
920077.BJ,20260518,17.64,2.5858,3.2412,0.69,58.0496,52.8196,3.8796,4.0869,3.7956,,,58768.1817,30335.347,24200.9299,1036670.7252,535115.5211
920239.BJ,20260518,28.74,0.813,2.1279,0.74,20.9724,20.3058,4.5472,1.1668,1.1092,1.2427,1.2427,18207.4204,17987.998,6872.5676,523281.2623,516975.0625
688259.SH,20260518,39.7,1.9861,3.6089,0.71,56.1405,57.16,2.8115,12.2561,12.8678,0.4879,0.613,11170.0,11170.0,6147.066,443449.0,443449.0
603276.SH,20260518,17.92,2.8641,2.8641,0.75,61.9882,50.9258,2.0705,4.2853,4.0143,0.6902,0.6902,20764.9497,7564.2328,7564.2328,372107.8986,135551.0518
301282.SZ,20260518,27.45,4.6804,7.3168,0.63,64.0525,69.119,3.3972,2.8101,2.6355,0.6454,0.7745,21093.3875,17657.7875,11295.4455,579013.4869,484706.2669
301330.SZ,20260518,30.28,1.5282,3.6975,0.78,33.191,36.0115,2.0529,3.3414,3.2841,1.3695,1.3695,23535.155,19432.1561,8031.1867,712644.4934,588405.6867
688711.SH,20260518,31.45,6.7792,8.2402,0.76,391.5759,395.6111,6.3733,4.9727,4.9311,,,21309.2828,21309.2828,17530.979,670176.9441,670176.9441
688102.SH,20260518,43.08,3.4493,7.1108,0.96,226.9593,211.5557,17.1553,21.3151,20.0528,0.1736,0.1794,77759.3807,77759.3807,37719.564,3349874.1206,3349874.1206
603071.SH,20260518,13.78,0.4688,1.6196,0.77,12.0456,11.7129,1.2917,0.2061,0.2188,4.3541,5.0798,55795.4442,55795.4442,16150.0481,768861.2211,768861.2211
301373.SZ,20260518,121.0,12.2583,12.981,0.82,95.6329,91.0852,7.7221,26.2357,24.3423,0.5785,0.5785,10847.2091,4078.3098,3851.2731,1312512.3011,493475.4858
301135.SZ,20260518,27.35,2.0978,2.8692,0.91,100.8214,161.285,2.3121,1.9156,1.8861,1.0743,1.0743,10044.47,7828.715,5723.89,274716.2545,214115.3553
301248.SZ,20260518,88.71,6.7092,7.6266,0.85,997.1995,,9.0401,15.9975,16.4289,0.0225,0.0225,15370.5,11232.87,9881.7775,1363517.055,996467.8977
301207.SZ,20260518,20.07,1.6743,7.0999,0.49,65.9449,64.3311,2.1009,10.0312,10.0105,3.9461,3.9461,60102.75,60064.815,14164.815,1206262.1925,1205500.8371
301175.SZ,20260518,6.02,3.0504,3.0504,0.55,23.2099,22.7148,2.4268,4.7318,4.5491,3.2392,2.6578,147188.0,62188.0,62188.0,886071.76,374371.76
301238.SZ,20260518,20.96,1.1579,4.0885,0.78,69.1217,47.6757,2.0809,7.4941,6.7932,0.9542,0.9542,73333.33,73333.33,20768.99,1537066.5968,1537066.5968
301137.SZ,20260518,48.0,5.525,16.3336,0.88,232.4819,228.5802,6.2825,4.8922,4.8062,0.1875,0.1875,18181.34,18181.34,6150.007,872704.32,872704.32
301125.SZ,20260518,24.31,2.7688,5.3569,0.61,705.5352,,5.9282,5.5486,5.83,0.1231,0.1231,14175.792,12566.142,6494.942,344613.5035,305482.912
001234.SZ,20260518,26.94,3.5115,10.6779,0.4,62.5746,73.5014,3.1216,3.5099,3.4245,1.1136,1.1136,10941.37,9148.55,3008.55,294760.5078,246461.937
301206.SZ,20260518,26.86,1.0241,1.4044,0.94,59.4512,58.6951,1.2742,8.367,7.5053,6.4562,5.5286,20232.57,13027.5623,9499.893,543446.8302,349920.3234
301229.SZ,20260518,17.15,1.8204,2.3786,0.92,82.1685,163.0094,2.5131,2.9046,2.8365,0.9623,0.9623,18178.0501,12928.064,9894.0037,311753.5592,221716.2976
301235.SZ,20260518,73.7,14.876,19.7896,1.44,67.4026,61.4119,4.2014,3.4743,3.3146,0.0651,0.0651,10777.6866,7274.5124,5468.3006,794315.5024,536131.5639
301215.SZ,20260518,6.14,0.9688,3.3224,1.1,38.2213,35.2843,2.7369,14.0691,12.8915,1.4648,1.4648,132390.0,132240.0,38560.0,812874.6,811953.6
301106.SZ,20260518,35.22,2.8191,8.6139,0.98,39.5089,48.4387,2.7712,3.9508,3.8442,1.1302,1.1302,10211.4835,10211.4835,3341.9379,359648.4489,359648.4489
301366.SZ,20260518,40.01,3.1067,4.2191,0.89,287.2192,176.4789,3.8728,7.4379,7.0214,0.7102,0.7102,20953.6201,11699.636,8614.9744,838354.3402,468102.4364
301349.SZ,20260518,47.8,7.3294,14.069,0.95,176.3763,108.7144,2.4913,5.8685,5.3263,,0.4459,14249.848,11251.6161,5861.6575,681142.7344,537827.2496
688151.SH,20260518,19.8,0.3537,1.1929,0.55,159.4552,144.2031,1.611,10.856,10.2267,0.2192,0.2192,34450.0,34450.0,10215.32,682110.0,682110.0
300941.SZ,20260518,17.33,2.0251,2.8195,0.74,108.3022,118.4412,2.7466,14.3879,13.8278,0.7264,0.7264,20475.0,12377.8662,8890.334,354831.75,214508.4212
300909.SZ,20260518,48.3,3.9093,5.5959,0.98,568.2728,418.4105,4.1936,5.6161,5.3169,0.4762,0.4762,17297.2979,12913.9272,9021.7462,835459.4886,623742.6838
605007.SH,20260518,14.58,1.3503,6.2291,0.85,28.3398,24.8134,1.93,0.7807,0.756,1.7189,1.7189,47573.0003,40155.305,8704.5967,693614.3444,585464.3469
603112.SH,20260518,21.94,1.4546,3.4657,0.69,21.2358,20.7216,2.6201,2.8704,2.8165,1.5174,1.5174,53996.1401,53460.6541,22437.4215,1184675.3138,1172926.751
688606.SH,20260518,52.49,0.6369,1.3481,0.9,18.8992,23.3305,1.0717,4.5965,4.664,4.6885,4.6885,7928.0855,7928.0855,3745.732,416145.2079,416145.2079
605179.SH,20260518,15.97,0.5626,2.7015,0.71,125.0938,119.2493,5.5636,2.2053,2.2152,0.2505,0.2505,40100.0,40100.0,8350.8,640397.0,640397.0
003026.SZ,20260518,47.45,8.5859,11.2913,0.51,142.7811,123.3624,9.0282,14.3394,13.7468,0.3151,0.3151,12961.9,9679.04,7359.9327,615042.155,459270.448
003028.SZ,20260518,28.84,2.7204,5.0605,1.14,56.8507,84.6956,2.4243,3.0525,2.9893,1.7203,1.2108,14471.1,7053.8197,3791.8668,417346.524,203432.1601
300881.SZ,20260518,52.88,3.5696,6.7768,0.73,23.4511,23.9849,4.6989,1.8469,1.7989,1.8792,1.8792,11000.0,5740.625,3023.78,581680.0,303564.25
601568.SH,20260518,3.86,0.5666,1.4646,0.9,141.5735,374.0418,1.3478,1.7154,1.7547,2.5907,2.5907,397222.2224,397222.2224,153676.119,1533277.7785,1533277.7785
003011.SZ,20260518,23.29,3.3106,4.3605,0.93,24.0428,27.7696,1.7224,1.9823,1.9849,2.5508,2.5508,10267.6,7684.5105,5834.274,239132.404,178972.2495
603052.SH,20260518,103.44,7.8574,23.7758,1.64,1233.2667,,18.2461,21.0335,20.5736,0.1706,0.1706,18789.7282,18789.7282,6209.6482,1943609.485,1943609.485
301007.SZ,20260518,43.26,5.0063,6.125,0.89,128.3458,133.5388,10.0794,10.3037,10.1774,0.3467,0.3467,15334.0,15132.5125,12368.6397,663348.84,654632.4908
688566.SH,20260518,26.19,0.748,2.4394,0.87,19.9655,20.5577,2.1049,5.4066,5.2722,1.9855,1.9855,19943.0865,19943.0865,6115.4263,522309.4354,522309.4354
300908.SZ,20260518,26.9,0.8338,1.7043,0.7,20.4768,19.9269,2.3022,3.6295,3.5676,2.974,3.7175,14600.0,12340.3474,6037.6544,392740.0,331955.3451
300927.SZ,20260518,28.29,4.9897,12.7477,0.82,209.334,129.3306,4.1493,2.6308,2.5696,0.3181,0.3181,14436.0,14084.9197,5513.1197,408394.44,398462.3783
605133.SH,20260518,39.95,5.3414,11.6864,1.03,59.2016,60.3256,2.9569,3.5007,3.2599,0.2889,0.2889,28276.9152,28211.8112,12894.5713,1129662.7622,1127061.8574
603102.SH,20260518,39.43,1.2313,2.1972,1.07,19.6482,20.6627,1.4997,2.7703,2.64,1.8508,1.8508,6400.0,6400.0,3586.4455,252352.0,252352.0
300922.SZ,20260518,18.54,2.4506,2.914,0.6,70.4286,89.4356,2.9576,12.8433,15.0007,0.9372,0.9372,16085.238,12621.0982,10614.1417,298220.3125,233995.1606
301220.SZ,20260518,41.39,2.6395,3.0877,0.69,40.3637,94.7784,2.6755,4.5086,4.2755,0.3425,0.3425,11277.084,7778.1008,6648.9325,466758.5068,321935.5921
300952.SZ,20260518,36.67,6.9546,9.786,1.42,62.1102,77.8424,3.7305,5.1558,5.2053,0.5883,0.5883,17258.6789,10612.7304,7542.0954,632875.7553,389168.8238
003000.SZ,20260518,11.31,2.9807,4.0138,2.09,21.0088,20.6935,3.4624,2.0876,1.9715,3.4954,0.8624,45089.4159,30806.0295,22876.8673,509961.2938,348416.1936
300864.SZ,20260518,24.25,1.8007,6.3537,0.66,25.3198,25.1127,2.7331,4.7831,4.7259,3.4736,,15791.0683,15791.0683,4475.4283,382933.4063,382933.4063
605255.SH,20260518,102.79,1.2927,5.171,0.67,527.1078,916.2835,16.9559,43.2872,44.5701,0.2189,0.2189,13408.0,13408.0,3351.9799,1378208.32,1378208.32
603685.SH,20260518,32.21,1.2617,2.1161,0.63,366.7107,227.1914,4.0507,7.1576,7.2639,0.0167,0.0167,25095.0568,20146.5747,12011.5998,808311.7795,648921.1711
300827.SZ,20260518,38.76,6.1019,7.5349,0.57,46.6387,45.6384,5.0162,3.8324,3.6755,0.1984,0.1984,55669.1579,38524.4443,31197.6741,2157736.5602,1493207.4611
603080.SH,20260518,23.72,4.1429,7.8081,1.31,15.919,15.9474,2.0659,2.06,2.0442,2.3609,2.3609,14150.0,14150.0,7507.88,335638.0,335638.0
002958.SZ,20260518,2.91,0.777,1.0232,0.9,5.1681,5.061,0.4218,1.6123,1.6562,4.1237,4.1237,555562.3291,543949.0807,413057.3307,1616686.3777,1582891.8248
300777.SZ,20260518,37.6,3.5408,4.3084,0.78,52.5453,75.0153,3.6034,19.5404,23.1048,0.5836,0.5836,43970.7537,42238.6301,34713.5013,1653300.3391,1588172.4918
603607.SH,20260518,24.63,6.5334,12.6,3.31,41.5836,41.0756,4.1105,5.1345,5.4104,2.03,2.03,17851.68,17851.68,9256.4807,439686.8784,439686.8784
688571.SH,20260518,9.21,2.5028,6.2778,0.91,36.0059,36.122,2.2938,3.1268,3.0883,2.1121,2.1121,42417.07,42417.07,16910.5276,390661.2147,390661.2147
601528.SH,20260518,4.86,0.6505,0.6765,0.65,4.8509,4.8562,0.4821,2.1633,2.1835,4.1152,4.321,196216.1395,173445.6538,166782.1579,953610.438,842945.8775
002915.SZ,20260518,24.0,19.8847,28.5066,4.51,427.4938,750.9222,5.4118,5.1216,5.2724,,,33527.333,28807.4125,20094.5546,804655.992,691377.9
002939.SZ,20260518,9.32,1.2163,3.465,0.49,15.9895,15.8848,1.1526,7.2368,7.2365,1.8026,1.8026,403442.6956,360265.9631,126461.7484,3760085.923,3357678.7761
002913.SZ,20260518,51.18,1.5844,4.9826,0.6,52.7513,76.2267,3.6665,2.9374,2.8602,1.1723,1.1723,31736.0504,30168.5174,9593.5174,1624251.0595,1544024.7205
300726.SZ,20260518,56.65,6.3432,10.6402,0.7,58.1561,53.0118,4.483,12.3661,12.1199,1.0591,1.0591,41183.9845,21443.8423,12783.9845,2333072.7219,1214793.6663
300705.SZ,20260518,12.07,1.2684,1.7411,0.82,12.7713,14.955,2.242,1.9411,2.0061,2.5458,2.5458,50029.1126,36888.7969,26873.3351,603851.3891,445247.7786
300707.SZ,20260518,14.91,2.9209,3.5701,0.79,89.9825,98.0273,2.3512,3.2171,2.9866,0.3979,0.3979,17654.1184,14580.4195,11929.028,263222.9053,217394.0547
002999.SZ,20260518,6.98,2.504,3.9066,0.64,40.5592,44.9408,1.97,0.1785,0.1782,1.7765,1.7765,34759.2,34354.3875,22020.3875,242619.216,239793.6248
688799.SH,20260518,56.8,1.5945,3.4551,0.52,31.3035,33.3075,3.5932,4.9587,4.9975,0.7545,0.7545,13132.0,13132.0,6060.32,745897.6,745897.6
603895.SH,20260518,38.93,5.0479,11.4896,0.93,228.7315,247.4797,20.5014,7.8961,8.0477,,,10808.0,10808.0,4748.4448,420755.44,420755.44
300702.SZ,20260518,19.28,1.17,1.7087,0.8,48.0199,70.0892,1.822,2.1917,2.1548,0.2593,0.2593,34797.7159,21040.9991,14408.0574,670899.9626,405670.4626
603583.SH,20260518,28.94,2.3775,4.9774,1.33,28.1068,33.3107,2.3728,2.7661,2.7756,1.0304,1.0304,38577.0955,38224.6955,18258.6222,1116421.1438,1106222.6878
002945.SZ,20260518,14.93,0.2898,2.8983,0.55,79.6296,81.1151,5.4826,23.7428,23.0728,0.2679,,270000.0,270000.0,27000.0,4031100.0,4031100.0
002925.SZ,20260518,20.67,1.2378,3.6862,0.76,27.6405,26.8669,3.087,3.8615,3.6179,1.4349,1.4349,77166.9053,73104.8118,24548.4723,1595039.9326,1511076.4599
603848.SH,20260518,15.94,0.7799,4.5584,0.5,31.5632,30.4899,2.4624,4.1556,4.0098,1.2547,1.2547,40240.6511,40240.6511,6884.6511,641435.9785,641435.9785
600933.SH,20260518,17.36,1.723,3.5696,0.89,15.2655,15.7815,1.8185,2.4123,2.3316,1.6526,1.6526,103013.3305,97737.6558,47175.1705,1788311.4175,1696725.7047
002922.SZ,20260518,42.83,7.0683,9.5019,0.9,90.6315,79.9839,4.7814,3.4478,3.3265,0.6436,0.2315,42372.6924,37550.2782,27933.0194,1814822.4155,1608278.4153
300654.SZ,20260518,11.46,3.1988,5.9821,0.74,167.9527,166.5378,4.8882,8.2645,8.2933,0.4799,0.4799,36612.4852,35263.6239,18856.5709,419579.0804,404121.1299
002912.SZ,20260518,24.22,2.4263,3.6425,1.35,59.5818,153.3811,2.5304,5.5079,5.3776,0.8258,0.8258,17075.2,16222.1736,10805.5641,413561.344,392901.0446
603655.SH,20260518,41.35,2.0031,6.1904,0.45,96.8725,101.5254,7.6117,16.2319,16.4074,0.4554,0.4554,10600.0,10600.0,3430.0,438310.0,438310.0
301026.SZ,20260518,30.99,4.4666,5.2584,1.0,28.1574,22.9643,2.8936,1.1452,0.9156,0.9162,0.9162,15827.3987,11430.9144,9709.647,490491.0857,354244.0373
603859.SH,20260518,45.32,8.5586,11.6845,2.95,49.155,49.1361,3.5059,7.2729,7.2893,0.0441,0.0441,24469.7701,24469.7701,17923.4341,1108969.9809,1108969.9809
601966.SH,20260518,12.38,0.8944,1.9671,1.15,13.2358,17.3348,0.7935,0.7353,0.7246,2.0921,2.0921,146350.2683,146350.2683,66545.8561,1811816.3216,1811816.3216
300533.SZ,20260518,26.23,2.6728,3.1055,0.65,12.7201,21.5858,4.0423,2.4081,2.4393,3.8124,3.8124,23446.197,16497.3678,14198.7851,614993.7473,432725.9574
603198.SH,20260518,35.28,0.6155,2.2158,0.64,14.214,14.1708,2.4607,4.6894,4.5514,4.2517,4.2517,80000.0,80000.0,22223.415,2822400.0,2822400.0
603266.SH,20260518,20.68,2.0403,4.5527,1.04,38.7682,37.2826,2.5346,3.1067,3.068,0.8221,0.8221,19888.675,19888.675,8912.865,411297.799,411297.799
300468.SZ,20260518,27.59,2.6,3.189,0.72,197.0439,203.3121,9.0339,23.1998,22.3239,0.3625,0.2175,53064.9275,52978.9647,43193.8344,1464061.3497,1461689.6361
300537.SZ,20260518,30.15,32.1296,36.5457,2.99,457.9658,548.8755,6.9087,13.01,12.8113,,,20780.6521,15176.4458,13342.5742,626536.6608,457569.8409
002772.SZ,20260518,15.36,2.1545,3.4759,0.88,17.1841,12.8065,1.5833,2.7431,2.5839,1.9531,2.9297,37474.2533,37161.9327,23035.0956,575604.5307,570807.2863
603311.SH,20260518,25.41,9.6237,19.795,2.07,76.3618,85.3871,4.4453,7.0063,7.0549,0.4723,0.4723,23588.3907,23588.3907,11467.9471,599381.0077,599381.0077
300473.SZ,20260518,34.08,6.1067,7.8802,1.9,37.4622,32.4865,3.0717,1.0819,1.0684,,,17266.2383,15051.6238,11664.0996,588433.4013,512959.3391
603066.SH,20260518,11.74,1.8436,3.886,0.7,104.2955,27.5576,2.2634,2.7502,2.5761,0.4429,0.4429,29418.0074,29418.0074,13956.7004,345367.4069,345367.4069
603027.SH,20260518,8.15,1.2738,2.5034,0.93,31.2593,32.4199,3.0922,4.2245,4.2461,5.663,5.663,133312.5412,124961.5367,63583.4697,1086497.2108,1018436.5241
603800.SH,20260518,55.94,3.7417,7.0592,0.77,801.0687,489.8577,14.7101,10.7859,10.9613,0.1733,0.1733,20800.0,20800.0,11025.0,1163552.0,1163552.0
300404.SZ,20260518,10.7,3.5238,3.9842,0.74,135.3939,95.8957,3.8658,4.7531,4.3463,0.111,0.111,38586.3039,28544.1713,25245.5665,412873.4517,305422.6329
601086.SH,20260518,8.75,1.8564,7.1606,0.55,82.9179,60.2671,3.5758,7.2814,7.0185,0.9064,0.9064,66600.0,66600.0,17266.0,582750.0,582750.0
603339.SH,20260518,13.59,1.314,2.3534,0.57,27.2348,28.4444,1.558,2.4871,2.5638,1.6987,1.6987,30944.1175,30944.1175,17277.9339,420530.5568,420530.5568
300416.SZ,20260518,16.45,2.4095,3.4572,0.73,32.495,32.1653,2.9759,3.7219,3.6598,0.9119,0.9119,50854.7806,50495.4169,35192.8439,836561.1409,830649.608
002828.SZ,20260518,11.47,5.909,6.8046,1.37,104.2879,,3.5243,2.357,2.421,0.4359,0.4359,20098.76,20098.76,17453.2228,230532.7772,230532.7772
603508.SH,20260518,25.39,2.8001,6.5318,1.62,17.4065,16.4088,2.3234,6.3704,6.1302,12.9511,12.9511,38127.4377,38127.4377,16344.9096,968055.6432,968055.6432
603936.SH,20260518,20.88,9.0669,11.5921,0.65,1990.8142,,3.061,3.6441,3.6491,,,63039.8004,63039.8004,49307.1693,1316271.0324,1316271.0324
603060.SH,20260518,7.13,2.1887,6.929,1.18,48.0027,46.453,2.8372,2.2014,2.1824,1.5988,1.5988,80396.0989,80396.0989,25394.843,573224.1852,573224.1852
600977.SH,20260518,14.53,2.2125,6.7792,1.01,232.7678,189.3003,2.469,5.6128,5.7829,0.3166,0.0757,186700.0,186700.0,60931.75,2712751.0,2712751.0
603319.SH,20260518,31.94,6.0327,7.8862,0.57,104.2859,151.2002,4.3988,4.8249,4.7837,0.4696,0.5855,33914.9678,33914.9678,25943.9598,1083244.0715,1083244.0715
300298.SZ,20260518,16.7,1.0013,1.5492,0.75,100.9885,79.1448,3.1434,2.0081,1.9263,1.3002,1.3002,56026.7393,45091.3185,29143.483,935646.5463,753025.019
002655.SZ,20260518,35.17,14.9912,17.4917,0.81,172.4193,222.1917,15.3259,8.8849,8.9075,0.0844,0.0844,36380.7,36308.59,31118.0685,1279509.219,1276973.1103
601368.SH,20260518,4.93,0.758,1.7583,1.03,45.7135,36.786,0.9002,1.7392,1.7359,0.6085,0.6085,88297.3077,88297.3077,38062.6493,435305.727,435305.727
601928.SH,20260518,9.13,0.2121,0.78,0.6,12.9433,13.5766,1.1407,1.8819,1.9354,6.5717,6.5717,254490.0,254490.0,69211.9742,2323493.7,2323493.7
300288.SZ,20260518,11.6,1.9248,2.2085,0.94,419.645,,3.6302,13.1504,13.4875,0.1293,0.1293,33794.1402,25656.9391,22361.3928,392012.0263,297620.4936
002651.SZ,20260518,9.15,1.2895,2.4547,0.4,168.7237,229.7483,3.3733,12.9784,12.6363,0.6557,0.6557,103346.0,56546.3641,29704.505,945615.9,517399.2315
603599.SH,20260518,11.89,1.6111,2.7602,0.62,16.4758,16.5682,1.0589,3.064,3.126,2.2708,2.2708,91026.9345,91026.9345,53130.3942,1082310.2512,1082310.2512
603126.SH,20260518,8.4,4.4454,9.0096,0.7,373.9741,156.5138,2.4994,1.3758,1.2163,0.0595,0.0595,61050.0,61050.0,30122.4214,512820.0,512820.0
002668.SZ,20260518,9.68,0.9885,2.0733,0.71,9.3416,9.3021,2.727,0.5663,0.5577,,,108411.1428,108411.1428,51686.8131,1049419.8623,1049419.8623
002642.SZ,20260518,8.84,4.7048,5.9579,0.53,292.1882,293.219,4.9219,3.0,2.9115,,,66158.0313,66158.0313,52243.3661,584836.9967,584836.9967
601388.SH,20260518,3.68,1.8391,3.4313,0.58,47.6963,38.8771,1.7273,1.0662,1.055,,,220122.2616,220122.2616,117976.163,810049.9227,810049.9227
002658.SZ,20260518,10.05,10.5223,14.1494,1.04,42.3317,41.1903,2.4941,4.5719,4.675,2.4436,1.99,63576.0924,35856.1499,26664.6499,638939.7286,360354.3065
002669.SZ,20260518,13.78,7.3012,10.2659,1.19,33.3295,33.1992,1.5069,0.7983,0.758,,,30340.0,30271.78,21529.6179,418085.2,417145.1284
300483.SZ,20260518,22.54,12.0224,13.2424,1.64,50.8253,42.644,2.3461,3.0576,2.9301,,,38179.628,38167.628,34651.0972,860568.8151,860298.3351
300532.SZ,20260518,7.84,1.4435,2.2247,0.68,21.1933,22.9666,2.8423,2.1111,2.1888,2.729,3.6415,63564.03,60472.1509,39237.659,498341.9952,474101.6631
300292.SZ,20260518,6.45,12.7374,13.623,0.45,73.7429,70.0298,5.8909,1.9882,2.0198,,,134176.4974,111594.4813,104339.9501,865438.4082,719784.4044
002654.SZ,20260518,18.23,12.5871,16.5393,1.06,479.8197,539.1412,9.8528,2.7713,2.7495,,,84530.2544,84524.2544,64326.429,1540986.5377,1540877.1577
002653.SZ,20260518,50.92,0.922,1.8307,0.93,219.6867,74.2937,12.546,12.9966,11.2705,0.5302,0.5244,111991.797,53678.6133,27034.2778,5702622.3032,2733314.9892
601339.SH,20260518,8.11,1.4656,5.7014,1.34,18.5352,16.7693,1.3008,1.5471,1.4982,5.0555,5.0555,149956.9,149956.9,38548.2228,1216150.459,1216150.459
002674.SZ,20260518,13.64,1.618,3.2735,1.02,39.7532,38.3696,1.6449,1.35,1.3671,1.0997,1.0997,29555.0944,29256.3652,14460.6602,403131.4876,399056.8213
002661.SZ,20260518,8.41,1.0283,1.7043,0.73,30.3613,69.2958,1.2244,0.6473,0.6389,3.2523,1.6261,33313.7742,31770.8801,19168.0267,280168.841,267193.1016
002643.SZ,20260518,17.94,3.2221,6.0847,1.16,58.204,56.6212,2.3154,4.4551,4.2778,0.5616,0.5616,92295.9225,90931.537,48152.3694,1655788.8497,1631311.7738
002470.SZ,20260518,2.73,4.513,6.4383,0.52,259.3075,240.9358,4.2077,0.9047,0.8524,,,328602.7742,328573.5917,230318.8525,897085.5736,897005.9053
002476.SZ,20260518,5.66,2.0174,2.5659,0.95,110.6033,115.2827,3.5947,5.7417,4.9281,0.1767,0.1767,61200.0,61200.0,48115.6794,346392.0,346392.0
002494.SZ,20260518,6.12,4.6602,5.2083,1.31,112.4077,83.563,1.835,4.9479,4.5184,,,37731.0718,28677.0438,25659.0344,230914.1594,175503.5081
300131.SZ,20260518,21.75,13.6302,13.9513,0.8,934.5954,1887.9927,14.3049,4.4195,4.3601,,,113501.9485,104226.7516,101828.2299,2468667.3799,2266931.8473
601018.SH,20260518,3.61,0.3706,2.3502,1.08,13.5882,13.6008,0.8569,2.264,2.1843,3.8227,0.831,1945438.8399,1945438.8399,306805.4656,7023034.212,7023034.212
002481.SZ,20260518,4.25,0.7613,1.2572,0.86,160.527,135.4722,2.1577,2.4724,2.4141,0.699,0.699,123369.65,111815.26,67711.2305,524321.0125,475214.855
300401.SZ,20260518,13.55,1.854,2.6568,0.44,24.1646,28.485,2.2432,5.9536,6.2017,0.841,,54368.5011,53490.1012,37326.1035,736693.1899,724790.8713
002521.SZ,20260518,7.79,1.205,1.412,0.8,28.1866,24.6479,1.0942,1.3002,1.313,5.1348,5.1348,56006.105,41917.359,35772.0107,436287.558,326536.2266
