ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
000757.SZ,20260518,4.57,3.2538,4.691,1.33,50.9881,50.8866,1.5157,0.8717,0.9309,,,53271.6095,53271.6095,36949.7157,243451.2554,243451.2554
000758.SZ,20260518,7.1,2.1561,3.3444,0.7,29.7182,28.9738,2.267,1.3964,1.3104,0.6487,0.6487,199043.993,198275.3075,127828.3096,1413212.3503,1407754.6833
000766.SZ,20260518,22.66,1.082,1.347,0.51,638.7582,687.9891,9.4414,18.7193,18.7062,,,96649.4707,96600.7681,77600.7681,2190077.0061,2188973.4051
000767.SZ,20260518,5.09,13.6949,21.3039,1.11,79.8411,78.97,2.5928,1.0128,1.0143,,,307694.2219,291224.6436,187210.3509,1566163.5895,1482333.4359
000768.SZ,20260518,23.2,1.3412,2.9648,0.56,56.0353,58.1848,2.8631,1.5729,1.63,0.5173,0.5173,278061.0135,277641.4009,125598.4291,6451015.5132,6441280.5009
000776.SZ,20260518,19.67,0.6368,1.2879,0.65,11.2334,9.8337,1.1166,4.3365,3.8542,2.5419,2.5419,782484.5511,590404.9311,291937.224,15391471.1201,11613264.9947
000777.SZ,20260518,19.44,1.6611,2.2832,0.74,43.8725,47.3613,3.0341,4.3051,4.6174,1.0031,1.0031,38341.7593,38341.0827,27894.1648,745363.8008,745350.6477
000778.SZ,20260518,4.36,1.4082,2.3585,1.08,18.2434,17.153,0.6483,0.4667,0.4485,0.4587,0.4587,396318.2285,389352.039,232471.6951,1727947.4763,1697574.89
000779.SZ,20260518,8.03,2.7171,4.9763,2.09,25.0553,24.5209,0.9361,1.8126,1.7939,0.9963,0.9963,46482.9452,46477.3005,25376.7742,373258.05,373212.723
000783.SZ,20260518,8.4,1.9134,3.3296,0.41,12.567,11.052,1.2611,4.404,4.0746,1.7857,1.7857,553007.2948,553007.2948,317795.5335,4645261.2763,4645261.2763
000786.SZ,20260518,24.61,0.7412,1.3356,0.85,14.4138,14.6068,1.4995,1.6571,1.6625,3.4885,3.4885,170223.6042,168950.7842,93756.9604,4189202.8994,4157878.7992
000788.SZ,20260518,5.65,2.5054,3.6695,0.4,40.6275,52.419,2.2619,2.2716,2.8174,1.0619,4.0354,59598.7425,59598.7425,40691.1875,336732.8951,336732.8951
000789.SZ,20260518,4.78,0.4282,0.8452,0.81,131.3586,,0.5907,0.8367,0.8863,2.9867,2.9867,79740.8352,79740.8352,40402.2948,381161.1923,381161.1923
000792.SZ,20260518,33.35,1.7316,2.6449,0.77,20.8216,17.038,3.9484,11.3845,9.3798,,,529157.2541,529152.5371,346420.7773,17647394.4242,17647237.1123
000795.SZ,20260518,9.22,1.1227,2.2102,0.62,41.8167,41.7308,3.8442,2.691,2.5963,2.7507,2.7507,113368.4103,113368.2416,57589.9553,1045256.743,1045255.1876
000796.SZ,20260518,4.74,2.5731,3.0258,0.73,271.4858,215.0754,8.3693,9.51,8.8932,,,160378.8916,133076.1935,113165.9448,760195.9462,630781.1572
000798.SZ,20260518,9.06,1.4359,2.9714,0.76,39.5763,45.0019,8.1839,0.7634,0.7645,,,36585.8712,36583.6212,17679.0466,331467.9931,331447.6081
