ts_code,total_assets_2021,total_liab_2021,accounts_receivable_2021,inventory_2021,goodwill_2021,fixed_assets_2021,total_assets_2022,total_liab_2022,accounts_receivable_2022,inventory_2022,goodwill_2022,fixed_assets_2022,total_assets_2023,total_liab_2023,accounts_receivable_2023,inventory_2023,goodwill_2023,fixed_assets_2023,total_assets_2024,total_liab_2024,accounts_receivable_2024,inventory_2024,goodwill_2024,fixed_assets_2024,total_assets_2025,total_liab_2025,accounts_receivable_2025,inventory_2025,goodwill_2025,fixed_assets_2025
600279.SH,12691009562.3,5919854147.88,0.0,0.0,6437701.74,0.0,12527015125.55,5593947660.3,0.0,0.0,6437701.74,0.0,13226802462.4,6233220696.62,0.0,0.0,6437701.74,0.0,12719768622.44,4807652794.82,0.0,0.0,6437701.74,0.0,14664077407.91,5893589598.0,0.0,0.0,58262554.09,0.0
600280.SH,13027172876.43,12051046579.45,0.0,0.0,58361347.57,0.0,12762407357.53,11739409441.23,0.0,0.0,58361347.57,0.0,12016620037.11,11058692249.93,0.0,0.0,58361347.57,0.0,11318531435.8,10484361159.79,0.0,0.0,49996896.03,0.0,10604158782.3,9972371261.53,0.0,0.0,32639720.1,0.0
600281.SH,728928275.39,213473984.84,0.0,0.0,,0.0,1172146936.21,692588511.04,0.0,0.0,,0.0,1056048594.6,735982911.89,0.0,0.0,,0.0,1018196559.93,858970211.0,0.0,0.0,,0.0,968013492.99,837380070.72,0.0,0.0,,0.0
600282.SH,55821115682.01,29418090234.72,0.0,0.0,206824872.31,0.0,71765354602.23,40981379681.14,0.0,0.0,1906997170.08,0.0,79208517536.03,48379791018.0,0.0,0.0,1762836435.77,0.0,67657488062.99,40138070562.18,0.0,0.0,369362157.94,0.0,70127666971.97,41524129568.8,0.0,0.0,369362157.94,0.0
600283.SH,6219354659.13,3570884198.43,0.0,0.0,,0.0,7055125626.64,4280736906.05,0.0,0.0,,0.0,7356426211.85,4388148306.76,0.0,0.0,,0.0,9262735184.9,6088843836.76,0.0,0.0,,0.0,9790828444.56,5944440053.11,0.0,0.0,,0.0
600284.SH,17675295771.99,10985455253.17,0.0,0.0,,0.0,24713195842.13,17581932311.37,0.0,0.0,,0.0,30172890535.36,22641663756.37,0.0,0.0,,0.0,31275673287.31,23401491145.82,0.0,0.0,,0.0,30528301436.56,22522118122.82,0.0,0.0,,0.0
600285.SH,3715555734.23,1465020165.69,0.0,0.0,,0.0,4101139526.85,1647707560.48,0.0,0.0,,0.0,4632078172.13,1913340264.82,0.0,0.0,,0.0,4885562578.05,1983974475.11,0.0,0.0,,0.0,5755687724.88,2472402407.84,0.0,0.0,482016236.04,0.0
600287.SH,4845003885.73,2381452504.6,0.0,0.0,,0.0,3812453401.59,1981728597.12,0.0,0.0,,0.0,3740982871.93,1800729485.64,0.0,0.0,,0.0,3360111845.53,1113493661.74,0.0,0.0,,0.0,3192184051.98,718567000.43,0.0,0.0,,0.0
600288.SH,3631379479.51,1496584828.17,0.0,0.0,79100736.48,0.0,3653105135.0,1421065496.36,0.0,0.0,28592865.03,0.0,3512601572.5,1243953371.25,0.0,0.0,28592865.03,0.0,3061420031.74,850901025.09,0.0,0.0,28592865.03,0.0,3240837777.47,989823315.13,0.0,0.0,28592865.03,0.0
600292.SH,10563548384.78,4962468039.83,0.0,0.0,17090163.86,0.0,10639080957.34,5030847856.85,0.0,0.0,2030092.97,0.0,10373327495.69,4760209097.56,0.0,0.0,169785.97,0.0,9395856751.56,3748485172.65,0.0,0.0,169785.97,0.0,10123253227.24,4492275424.11,0.0,0.0,,0.0
600293.SH,4770695634.47,2618844167.53,0.0,0.0,69623522.83,0.0,3924019683.83,1877349437.57,0.0,0.0,69623522.83,0.0,3639128586.39,1814138130.75,0.0,0.0,56876604.41,0.0,3508279788.14,1648652842.8,0.0,0.0,56876604.41,0.0,3302298524.3,1476660474.08,0.0,0.0,56247863.82,0.0
600295.SH,48586398425.7,26458328773.08,0.0,0.0,4785722.54,0.0,48255288682.67,22560712508.99,0.0,0.0,4785722.54,0.0,49176695071.4,23121417296.31,0.0,0.0,4785722.54,0.0,51618266465.58,25937223642.16,0.0,0.0,55214758.17,0.0,47019872325.2,21448212042.03,0.0,0.0,93527435.16,0.0
600298.SH,12387772792.85,5303364974.17,0.0,0.0,36262380.99,0.0,16420944290.18,7261115974.72,0.0,0.0,36262380.99,0.0,18307888854.36,7929522015.04,0.0,0.0,36312137.67,0.0,20912297879.99,9978609963.95,0.0,0.0,36262380.99,0.0,24323520857.41,11883030820.87,0.0,0.0,202286261.59,0.0
600299.SH,20777043831.0,5201166875.0,0.0,0.0,1950076563.0,0.0,21827022241.0,7478771382.0,0.0,0.0,1811309169.0,0.0,21129322061.0,6438189984.0,0.0,0.0,2056270257.0,0.0,22269982178.0,6415600329.0,0.0,0.0,2127807937.0,0.0,25174272502.0,8229869392.0,0.0,0.0,2266023929.0,0.0
600300.SH,5303429283.46,2265867993.93,0.0,0.0,0.0,0.0,5052311914.23,1916666724.0,0.0,0.0,0.0,0.0,4738661630.53,1516225529.02,0.0,0.0,0.0,0.0,4491136082.74,1128871386.84,0.0,0.0,,0.0,4682746590.8,1109880931.72,0.0,0.0,,0.0
600301.SH,457162240.95,171793139.01,0.0,0.0,,0.0,493791611.82,157222135.93,0.0,0.0,,0.0,5583156668.88,2417567928.04,0.0,0.0,,0.0,7485012970.88,2711110047.05,0.0,0.0,545041086.72,0.0,8363534181.03,2930036316.6,0.0,0.0,545041086.72,0.0
600303.SH,4768734229.55,1852915336.3,0.0,0.0,,0.0,4067026853.31,1683721838.92,0.0,0.0,,0.0,3815993589.42,1846967724.94,0.0,0.0,,0.0,3444116984.92,1921955436.84,0.0,0.0,,0.0,3312600852.2,2158825361.4,0.0,0.0,,0.0
600305.SH,2899131303.47,624493225.37,0.0,0.0,,0.0,2851044207.76,618182162.04,0.0,0.0,,0.0,3969196045.7,586440275.86,0.0,0.0,,0.0,4146617308.57,790959808.09,0.0,0.0,,0.0,4132078831.33,764014848.46,0.0,0.0,,0.0
600307.SH,39459597925.1,24615679848.92,0.0,0.0,,0.0,39866057795.15,27606832981.63,0.0,0.0,,0.0,41905231983.2,31064538088.8,0.0,0.0,,0.0,47809977417.55,39568563874.49,0.0,0.0,,0.0,50202205955.89,43392033581.61,0.0,0.0,,0.0
600308.SH,16548458463.28,7153050825.55,0.0,0.0,,0.0,16090274339.85,6485847243.5,0.0,0.0,,0.0,15413457659.83,6150584607.62,0.0,0.0,,0.0,15488471718.04,6176117803.65,0.0,0.0,,0.0,15963095975.7,6766719289.37,0.0,0.0,,0.0
600309.SH,181404050896.61,114183162068.68,0.0,0.0,1318000205.17,0.0,215869831655.78,137892890932.95,0.0,0.0,1243449186.75,0.0,256098527648.93,166395307572.3,0.0,0.0,2120040629.44,0.0,309641134354.74,208040183857.25,0.0,0.0,2244654105.6,0.0,328323752607.71,211992840341.91,0.0,0.0,2306771813.52,0.0
600310.SH,23091662329.19,19580641567.8,0.0,0.0,400015631.27,0.0,22266554993.91,17787697332.35,0.0,0.0,347609237.46,0.0,22244113062.96,17655996162.75,0.0,0.0,317267570.09,0.0,21783233462.83,16451810391.71,0.0,0.0,299564269.02,0.0,23217149459.71,18007752571.99,0.0,0.0,274309652.48,0.0
600312.SH,20525551098.01,11022070927.36,0.0,0.0,141676978.24,0.0,18322265431.5,8600482236.64,0.0,0.0,53482478.24,0.0,19658125861.65,9443474208.71,0.0,0.0,53482478.24,0.0,21484115765.55,10602443737.79,0.0,0.0,53482478.24,0.0,22724506441.64,10841442833.76,0.0,0.0,53482478.24,0.0
600313.SH,3135323532.48,990323970.58,0.0,0.0,132416884.82,0.0,4151775766.95,1800530462.72,0.0,0.0,134798597.88,0.0,5017889269.78,2290706500.18,0.0,0.0,134798597.88,0.0,5218613090.21,2293722500.18,0.0,0.0,135503425.76,0.0,5088720538.89,2068509326.05,0.0,0.0,135503425.76,0.0
600315.SH,12309353424.76,5534010441.49,0.0,0.0,1945901938.74,0.0,12182128034.1,5135315543.61,0.0,0.0,1870715696.64,0.0,12048975846.48,4473904552.8,0.0,0.0,2023778377.75,0.0,11239111407.16,3500713556.26,0.0,0.0,2164457372.52,0.0,10466410443.89,3417551462.89,0.0,0.0,1563467969.99,0.0
600316.SH,14706166297.8,9556470801.34,0.0,0.0,,0.0,17177175643.88,11956620102.52,0.0,0.0,,0.0,15387181502.84,10114296463.19,0.0,0.0,,0.0,15135602531.99,9833594363.64,0.0,0.0,,0.0,16304724666.4,10937342086.98,0.0,0.0,,0.0
600318.SH,4958607341.46,2425713897.03,0.0,0.0,445286750.63,0.0,4259857431.32,2082597789.1,0.0,0.0,163567113.91,0.0,4155380015.57,2057745375.21,0.0,0.0,55913332.79,0.0,4195701187.42,2076259473.04,0.0,0.0,55913332.79,0.0,4508236028.64,2365407095.31,0.0,0.0,55913332.79,0.0
600319.SH,2411161815.04,2407048788.6,0.0,0.0,,0.0,1986073089.46,1394725814.64,0.0,0.0,,0.0,2151687198.67,1589209338.23,0.0,0.0,,0.0,2238324550.18,1688084648.77,0.0,0.0,,0.0,2742151020.0,2334954647.43,0.0,0.0,,0.0
600320.SH,80481078060.0,63141214042.0,0.0,0.0,260015324.0,0.0,81381027102.0,63196550853.0,0.0,0.0,270451335.0,0.0,84470282041.0,65906880571.0,0.0,0.0,271605627.0,0.0,81249882146.0,63128952230.0,0.0,0.0,268943928.0,0.0,82204138277.0,63624704448.0,0.0,0.0,270544324.0,0.0
