ts_code,revenue_2021,oper_cost_2021,revenue_2022,oper_cost_2022,revenue_2023,oper_cost_2023,revenue_2024,oper_cost_2024,revenue_2025,oper_cost_2025
003039.SZ,979089575.5,506773310.99,983518218.25,528693692.76,1073344823.05,607557499.53,1334313710.31,743537899.43,1641960947.2,976712888.51
300913.SZ,1049852086.01,903885453.47,1259965666.6,1066282146.92,1144335311.22,972415015.9,1340109482.2,1126912646.29,1518053681.71,1207748818.12
300884.SZ,634588494.26,422279025.58,586729574.11,350609726.09,624212962.5,345661060.94,519143922.08,299701459.39,460530027.55,281649152.76
688598.SH,888002554.59,371655371.6,1146687441.51,572189133.07,877664514.67,583512475.34,440483015.66,470560480.19,618180478.63,692831556.87
688157.SH,367757740.59,190410030.12,388146513.47,189502336.47,415129015.36,207407197.66,526826703.65,262757747.92,553414015.38,312807633.82
300986.SZ,1007476834.15,616779093.18,1301583059.4,882905058.66,1591835532.29,1204613021.46,1805191440.98,1328971415.24,2023486702.96,1442294404.62
603324.SH,791351916.82,581579989.0,960841037.33,687293013.62,1072394724.84,772909912.41,993675118.35,704461396.87,830923213.71,622230277.64
688309.SH,45470728.01,25611158.7,115118502.41,68809106.55,146216105.2,70507810.51,64435136.69,34672925.29,188146513.8,130865716.73
601816.SH,23017476383.38,14172286852.87,15225387684.75,12478463746.75,30881500016.17,16531645882.21,32355133669.92,16770932669.11,32804876912.8,17073213110.87
688156.SH,236137254.95,152351838.46,229952062.78,151522274.74,231668967.19,151477996.15,222090558.75,154533672.35,253521072.15,198452538.63
688336.SH,628020782.36,135979061.08,527354132.76,136137728.15,730604269.06,168228485.5,939404600.0,231295900.0,1115996100.0,258364800.0
688286.SH,263191608.76,169945872.06,218040306.31,158296797.74,259073134.57,221728202.16,336653429.12,262426665.43,463679918.25,323283257.96
688356.SH,261822523.15,36173754.7,320956302.68,47692983.05,244273054.82,48628443.07,185726750.89,59607318.87,210747269.99,73413260.53
301299.SZ,203274434.93,70180235.88,203342625.65,63662408.59,211835355.79,83720609.88,219065891.3,74370614.57,262692683.72,98030007.82
300921.SZ,415571317.61,272032051.13,404413041.5,251335573.26,429138757.89,289345357.26,446218780.42,313183575.58,409517403.91,271289360.45
688004.SH,164507411.31,73294317.64,87770170.54,43454591.65,121753088.18,66850156.91,110224969.81,66040155.44,114947644.39,54097227.39
688558.SH,845366405.53,587031629.87,880815809.48,644272958.89,847310048.84,631934909.46,799445212.38,606212658.1,971535366.33,726695853.14
688418.SH,269030599.46,146211966.82,363573990.86,213882511.96,517552082.42,297759737.32,576706151.77,290681500.83,508742302.24,278158260.32
688589.SH,199644861.81,111908616.02,349552270.39,209663869.54,448308687.36,266748566.87,378013595.05,214587608.87,269810697.45,144976526.16
300911.SZ,808515347.97,443560521.89,962315444.06,509298677.66,943774052.9,475096067.53,448797063.74,274125210.64,244527270.34,219028139.76
300918.SZ,1019356365.55,672279673.11,1185220393.59,803074035.68,1123527395.26,736476541.26,1163087186.04,773997695.84,1225773916.58,849985515.95
300940.SZ,773606077.02,671714045.39,560962162.65,494056195.8,382093503.43,395220351.74,238337192.0,213701637.16,615329981.6,445397671.95
688569.SH,814624250.54,531578698.68,1011087877.27,642542359.93,1399726246.8,792524168.8,993604468.2,610313187.36,791931173.28,456202076.57
688586.SH,723822256.02,386398340.91,882981240.21,504402468.19,910583378.99,556936184.31,791412180.66,494254078.65,637037882.59,459186396.49
001299.SZ,383479800.0,286084200.0,376160365.46,288485760.06,371214378.23,302123232.12,438946024.39,360241071.61,514810298.84,413412821.01
605086.SH,205992029.11,70066009.78,225344908.09,75036342.11,232646177.93,85201620.63,232090587.75,83921753.35,206037760.5,86215819.8
605287.SH,3225545813.15,2784332289.43,3378543694.55,2973188890.0,3926408406.74,3415981717.6,2966339237.28,2537250721.66,1957273810.08,1760132370.81
688077.SH,1146834401.96,920123497.27,1555350638.68,1223416802.85,1036156525.78,922695889.57,972132973.88,830763306.53,1185951401.45,963608156.46
688229.SH,92968314.27,29841770.34,94947610.53,26102605.21,95132062.29,32062577.81,105120196.85,28772248.79,101003263.54,32146206.33
688065.SH,1632762881.49,975995818.21,1837722247.37,1186716431.43,1565490018.66,1119691079.22,2215083356.3,1501857748.48,2545040722.5,1660528993.42
688050.SH,324897389.11,52036757.66,441315587.2,64396191.09,668099047.91,123562157.29,1075267105.77,348313455.26,1144414504.11,402855805.65
605016.SH,472181819.5,346402694.93,550364964.66,374219183.51,653792099.94,432182897.04,820387384.32,548532771.34,968895625.19,563545087.6
300925.SZ,2203346565.0,1619332241.3,2648613280.76,1967159252.98,2804219511.84,2176813916.65,3169103356.06,2550183501.95,3673619110.09,3003538416.5
