ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv,total_assets_2021,total_liab_2021,accounts_receivable_2021,inventory_2021,goodwill_2021,fixed_assets_2021,total_assets_2022,total_liab_2022,accounts_receivable_2022,inventory_2022,goodwill_2022,fixed_assets_2022,total_assets_2023,total_liab_2023,accounts_receivable_2023,inventory_2023,goodwill_2023,fixed_assets_2023,total_assets_2024,total_liab_2024,accounts_receivable_2024,inventory_2024,goodwill_2024,fixed_assets_2024,total_assets_2025,total_liab_2025,accounts_receivable_2025,inventory_2025,goodwill_2025,fixed_assets_2025,revenue_2021,oper_cost_2021,revenue_2022,oper_cost_2022,revenue_2023,oper_cost_2023,revenue_2024,oper_cost_2024,revenue_2025,oper_cost_2025,name
000631.SZ,20260518,3.25,0.9537,3.6384,0.5,126.744,149.5118,1.3567,15.1641,13.8886,,,230000.0085,230000.0085,60285.6539,747500.0276,747500.0276,8909558246.72,2620948143.82,0.0,0.0,,0.0,9261388849.24,3106808532.66,0.0,0.0,,0.0,7211579200.74,1335439786.04,0.0,0.0,,0.0,6822733294.7,1047948472.61,0.0,0.0,,0.0,7682649337.6,1663556649.49,0.0,0.0,,0.0,215337457.22,115261957.38,208476909.33,104327384.77,1786909234.63,1457967102.78,236920000.93,162364574.78,368887857.99,267045592.7,顺发恒能
920096.BJ,20260518,112.01,94.9896,96.7818,,108.5021,108.5021,11.714,19.2774,19.2774,,,6900.0,1620.0,1590.0,772869.0,181456.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,嘉晨智能
920119.BJ,20260518,96.7,5.1352,5.1352,0.98,25.7036,25.0199,3.5533,5.0952,4.8435,,,7212.3267,1897.6767,1897.6767,697431.9919,183505.3369,,,,,,,,,,,,,,,,,,,1976652749.07,1074771502.22,0.0,0.0,,0.0,2605303056.0,1373234376.53,0.0,0.0,,0.0,,,,,,,,,1055764212.8,661988898.32,美德乐
301599.SZ,20260518,70.56,43.7266,43.7266,1.11,111.202,120.6786,14.4601,12.8343,13.3362,,,43160.0,5470.0536,5470.0536,3045369.6,385966.982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,理奇智能
920177.BJ,20260518,40.77,31.2216,31.2216,1.12,26.9307,26.6188,3.219,7.1727,6.743,,,5232.0,1177.2,1177.2,213308.64,47994.444,,,,,,,,,,,,,,,,,,,326570354.22,65542180.64,0.0,0.0,,0.0,468323180.31,84566451.54,0.0,0.0,,0.0,,,,,,,,,220501977.2,109175069.05,恒道科技
920125.BJ,20260518,153.75,21.5308,21.5308,0.77,123.7911,118.8595,12.6493,12.998,12.7369,,,5616.0,1648.1539,1648.1539,863460.0,253403.6621,,,,,,,,,,,,,,,,,,,,,,,,,915177111.61,469499857.0,0.0,0.0,,0.0,,,,,,,,,388441877.15,276536364.71,鸿仕达
688808.SH,20260518,1344.99,19.5006,19.5006,1.14,795.188,505.3897,47.0773,115.643,93.258,,,10266.6667,1929.6144,1929.6144,13808564.0448,2595312.0719,,,,,,,,,,,,,,,,,,,,,,,,,1610253038.44,801011996.47,0.0,0.0,258106.1,0.0,,,,,,,,,805621511.07,329142507.95,联讯仪器
603400.SH,20260518,87.84,12.6822,12.6822,0.83,70.6344,78.9996,7.1629,6.2659,6.0127,0.4554,1.0246,10000.0,2000.0,2000.0,878400.0,175680.0,,,,,,,,,,,,,,,,,,,,,,,,,1826696557.93,567564874.91,0.0,0.0,,0.0,,,,,,,,,1031086188.35,781845713.58,华之杰
920028.BJ,20260518,21.76,13.0948,13.0948,0.55,32.1537,31.688,3.1551,4.2796,4.1785,,,16436.0,6495.96,6495.96,357647.36,141352.0896,,,,,,,,,,,,,,,,,,,915198852.87,303197048.7,0.0,0.0,,0.0,1120346286.95,378039199.29,0.0,0.0,,0.0,,,,,,,339354654.73,251813756.1,602781934.31,450569760.16,新恒泰
688807.SH,20260518,445.0,32.207,32.207,2.6,403.9668,384.6066,19.7994,73.2315,70.2473,,,8000.0,1503.5656,1503.5656,3560000.0,669086.692,,,,,,,,,,,,,,,,,,,,,,,,,877477450.05,65236392.04,0.0,0.0,,0.0,,,,,,,,,357380882.19,199588978.25,优迅股份
688785.SH,20260518,449.0,12.0448,12.0448,0.97,267.0236,315.3519,13.6189,57.4122,59.3285,,,6770.1688,1272.7665,1272.7665,3039805.7912,571472.1585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,恒运昌
688811.SH,20260518,32.86,39.1923,39.1923,1.63,239.2588,229.9705,10.4793,28.688,26.7777,,,50167.3605,9212.6097,9212.6097,1648499.466,302726.3547,,,,,,,,,,,,,,,,,,,,,,,,,1009650200.0,244637100.0,0.0,0.0,,0.0,,,,,,,,,342148000.0,,有研复材
001312.SZ,20260518,24.6,16.6974,16.6974,1.17,24.9192,24.7748,2.4582,3.3366,3.3957,,,23333.3334,5716.0269,5716.0269,574000.0016,140614.2617,,,,,,,,,,,,,,,,,,,,,,,,,2054196800.0,805909200.0,0.0,0.0,,0.0,,,,,,,,,1364947500.0,,福恩股份
001367.SZ,20260518,23.33,1.0446,3.1015,0.42,26.1581,26.6092,2.3567,6.6779,6.8225,0.491,0.4972,15235.12,12163.7042,4096.9648,355435.3496,283779.219,,,,,,,,,,,,,1301262008.78,84990064.99,0.0,0.0,,0.0,1399440414.84,96473881.71,0.0,0.0,,0.0,1568516356.47,136347325.68,0.0,0.0,,0.0,,,,,283171670.7,169702600.18,320044589.93,187645243.67,358867170.35,195283235.55,海森药业
301508.SZ,20260518,28.56,3.1924,3.1924,1.25,42.5884,42.4277,3.115,7.3384,7.1837,0.7388,0.7388,22608.52,5883.64,5883.64,645699.3312,168036.7584,,,,,,,,,,,,,1514515529.74,445265666.38,0.0,0.0,8427134.02,0.0,2481511078.97,375856374.56,0.0,0.0,8427134.02,0.0,2905524260.03,695669433.27,0.0,0.0,8427134.02,0.0,,,,,542095813.8,281453878.95,566004319.76,325459291.41,609395899.8,322261599.09,中机认检
688271.SH,20260518,109.7,0.8171,1.4593,0.93,48.3657,47.6322,4.1167,6.5513,6.3535,0.1905,0.1905,82415.7988,82415.7988,46144.2778,9041013.1284,9041013.1284,6912934504.23,4451576157.48,0.0,0.0,22104603.13,0.0,22176347625.49,5496129938.06,0.0,0.0,22104603.13,0.0,24244597257.91,6255612980.98,0.0,0.0,22104603.13,0.0,26029675610.35,6794298800.24,0.0,0.0,22104603.13,0.0,29757060578.89,8951717184.45,0.0,0.0,22104603.13,0.0,2034680383.14,1239984312.97,5858569866.11,3175335202.12,7432439187.03,3815268811.05,6954283174.55,3518012196.57,8858916392.73,4693777044.5,联影医疗
603119.SH,20260518,74.98,11.7963,11.7963,1.37,127.362,121.983,17.5051,25.7713,23.8655,0.1995,0.236,47285.9968,26503.8501,26503.8501,3545504.0401,1987258.6805,,,,,,,,,,,,,1890077592.76,283335317.93,0.0,0.0,,0.0,2125647196.8,358609470.81,0.0,0.0,,0.0,3145089186.01,1093625500.05,0.0,0.0,149141242.4,0.0,,,,,582618352.48,368351039.57,808956158.67,525728377.2,959829734.67,606575322.51,DR浙江荣
301550.SZ,20260518,190.58,6.7345,9.5479,1.44,255.3647,266.5204,23.5953,55.9223,54.7388,0.1722,0.1722,23127.5,14107.957,9950.8854,4407638.95,2688694.4451,,,,,,,702217735.52,451331138.3,0.0,0.0,5394981.54,0.0,1933374867.22,384690699.23,0.0,0.0,,0.0,2089343635.2,391171848.25,0.0,0.0,,0.0,2239924907.13,404867307.76,0.0,0.0,,0.0,,,310125763.65,235814550.97,529958179.97,358011539.41,556767021.58,375309341.87,581131664.01,381600989.6,斯菱智驱
001328.SZ,20260518,30.47,0.7468,2.6237,1.0,28.9717,27.6528,3.3343,3.0575,2.946,2.4614,2.4614,17217.38,16171.69,4603.12,524613.5686,492751.3943,,,,,,,,,,,,,1834864484.04,462406826.8,0.0,0.0,,0.0,1950919260.14,539627586.57,0.0,0.0,,0.0,1985551198.84,524327693.77,0.0,0.0,,0.0,,,,,1011248393.47,564407056.93,1052921002.65,534308338.4,1228289107.45,608029997.64,登康口腔
920982.BJ,20260518,159.3,1.3937,1.7504,0.97,28.1078,29.3723,9.0042,11.4894,11.4256,1.5935,1.5935,11506.534,5490.5088,4371.6612,1832990.8662,874638.0518,,,,,,,,,,,,,1358846197.21,512987165.25,0.0,0.0,,0.0,1849909700.3,533451044.56,0.0,0.0,,0.0,2462226855.29,622054287.88,0.0,0.0,,0.0,,,,,517043663.93,51883437.16,988391498.12,75436159.62,1295732666.6,119180681.79,锦波生物
301122.SZ,20260518,29.19,7.794,13.3244,2.13,634.8573,322.9328,1.9272,10.004,8.3896,0.8565,0.8565,12224.5658,7564.0658,4424.5658,356835.0757,220795.0807,,,,,,,1800360272.88,91739897.29,0.0,0.0,,0.0,1906520429.08,119798112.5,0.0,0.0,,0.0,1911508701.38,96363374.74,0.0,0.0,,0.0,1930383529.43,134847556.11,0.0,0.0,,0.0,,,377380539.19,219003485.76,293587422.03,178712345.01,292116185.53,177362674.86,245772123.41,185685705.96,采纳股份
688480.SH,20260518,92.85,3.9572,8.8415,1.13,83.389,73.4249,7.3366,7.1936,6.8521,0.6785,0.6785,9532.6179,9532.6179,4266.5607,885103.572,885103.572,759776161.4,497572282.65,0.0,0.0,,0.0,896017604.94,387232359.44,0.0,0.0,,0.0,1363148459.54,428898395.51,0.0,0.0,,0.0,1752356416.6,665240288.72,0.0,0.0,164989201.46,0.0,1939920544.58,806428252.62,0.0,0.0,178582065.31,0.0,290417589.89,203632232.53,330548382.77,221827028.12,400165242.31,269682004.43,584791287.57,378269459.48,677224652.61,447848878.8,赛恩斯
301167.SZ,20260518,17.54,3.7007,3.7007,1.0,90.5537,92.5382,2.0453,5.528,5.5243,0.3421,0.3421,11200.0,7096.2671,7096.2671,196448.0,124468.5249,599115246.73,252441504.86,0.0,0.0,,0.0,1235581527.48,332198812.65,0.0,0.0,,0.0,1331903884.28,373274203.49,0.0,0.0,,0.0,1355011491.42,378849809.86,0.0,0.0,,0.0,1398464984.92,395767366.87,0.0,0.0,,0.0,279040546.1,195098166.54,299009949.44,206947540.93,331338942.64,238590921.03,245650852.79,185297518.35,234516541.24,173366145.76,建研设计
688525.SH,20260518,331.1,10.7192,13.8793,1.12,182.7522,39.4718,18.3144,13.7929,9.4063,,,47083.671,47083.671,36363.6231,15589403.4681,15589403.4681,,,,,,,3571312920.41,1663747719.52,0.0,0.0,,0.0,6325240706.11,4337871137.83,0.0,0.0,,0.0,7414519609.22,4951045768.7,0.0,0.0,,0.0,13193805772.4,8467940324.92,0.0,0.0,,0.0,,,2185343451.67,1862576188.2,2122454436.79,2196210075.09,5025192641.64,3893833271.52,6575083824.4,5660483002.71,佰维存储
688432.SH,20260518,19.74,3.1837,12.4183,1.19,117.9324,117.3163,5.4703,24.5522,22.6781,0.3024,0.3024,125030.1858,125030.1858,32053.8958,2468095.8677,2468095.8677,2857785841.36,733414769.07,0.0,0.0,,0.0,3244016540.65,588696309.69,0.0,0.0,,0.0,4998789077.67,455142036.33,0.0,0.0,,0.0,5246749661.06,503518814.43,0.0,0.0,,0.0,5384637463.66,457867617.29,0.0,0.0,,0.0,353970655.61,282037783.73,924710407.97,577354834.29,790322829.26,511002964.82,773102420.66,490354379.96,746566316.75,459029332.07,有研硅
601133.SH,20260518,31.0,2.1312,7.4811,0.52,79.7826,85.2314,5.4069,3.9602,4.1377,0.6766,0.6766,52801.8424,52438.6744,14938.6744,1636857.1144,1625598.9064,,,,,,,1953224800.0,1042974500.0,0.0,0.0,7498500.0,0.0,4598729118.12,1892289064.8,0.0,0.0,7498530.39,0.0,5287175144.94,2465543084.74,0.0,0.0,,0.0,5381001216.29,2449539073.59,0.0,0.0,,0.0,,,,,2532913062.0,2212404222.91,3837901154.29,3450148093.09,3276437939.61,2913734231.84,柏诚股份
688325.SH,20260518,123.06,4.5566,8.681,1.6,108.8939,114.0498,5.9725,21.6925,21.0168,0.7938,0.7938,8613.9015,8318.5427,4366.3231,1060026.7186,1023679.8647,,,,,,,1672080486.88,54212914.76,0.0,0.0,,0.0,1722590851.04,65405566.53,0.0,0.0,,0.0,1749375061.62,58011203.07,0.0,0.0,,0.0,1863725318.56,144187858.69,0.0,0.0,,0.0,,,144681157.92,60904702.81,151059459.89,67899540.73,281116391.73,132586947.26,344012238.72,158377524.83,赛微微电
301212.SZ,20260518,34.61,2.5124,8.3825,0.54,269.8321,426.284,2.7699,5.3907,5.3168,0.3467,0.3467,10800.0,9375.0,2809.93,373788.0,324468.75,,,,,,,1681078746.85,379879337.49,0.0,0.0,,0.0,1667071220.18,292825960.56,0.0,0.0,,0.0,1646791447.69,278284341.1,0.0,0.0,,0.0,1737525077.02,364519594.76,0.0,0.0,,0.0,,,774800906.69,587012405.86,516164255.38,410195707.36,428499956.45,384421231.54,505901814.13,451046534.4,联盛化学
