ts_code,total_assets,total_liab,goodwill
301207.SZ,7173842560.89,1696840935.11,
301207.SZ,7269667171.01,1999187245.96,
301207.SZ,6746296460.98,1694850780.34,
301207.SZ,4523446917.5,1715354421.76,
301207.SZ,4762413013.48,2047123810.9,
301207.SZ,4762413013.48,2047123810.9,
301207.SZ,3309271916.39,1151132157.26,
301207.SZ,3648011215.13,1460877560.56,
301207.SZ,3648011215.13,1460877560.56,
301207.SZ,1794103513.24,531878988.54,
301207.SZ,1794103513.24,531878988.54,
301207.SZ,1368081790.02,481154984.8,
