ts_code,total_assets,total_liab,goodwill
920476.BJ,567718671.59,102061075.26,80409708.03
920476.BJ,567718671.59,102061075.26,80409708.03
920476.BJ,457141920.27,93203750.63,80409708.03
920476.BJ,462036720.91,102560023.16,80409708.03
920476.BJ,480068803.1,115991537.25,80409708.03
920476.BJ,480068803.1,115991537.25,80409708.03
920476.BJ,395653018.95,86818028.66,51432546.74
920476.BJ,395653018.95,86818028.66,51432546.74
920476.BJ,375307788.27,99911974.68,51432546.74
920476.BJ,375307788.27,99911974.68,51432546.74
