ts_code,total_assets,total_liab,goodwill
920792.BJ,1323072052.95,337504399.11,1996380.25
920792.BJ,1308595666.28,300575031.98,1996380.25
920792.BJ,1308595666.28,300575031.98,1996380.25
920792.BJ,1244504172.96,264875609.85,1996380.25
920792.BJ,1244504172.96,264875609.85,1996380.25
920792.BJ,1082021566.88,274264024.51,1996380.25
920792.BJ,1082021566.88,274264024.51,1996380.25
920792.BJ,1082021566.88,274264024.51,1996380.25
920792.BJ,1031477960.88,311165272.03,1996380.25
920792.BJ,1031477960.88,311165272.03,1996380.25
920792.BJ,929615290.11,308507444.38,1996380.25
920792.BJ,882390862.42,324910525.99,1996380.25
