ts_code,total_assets,total_liab,goodwill
300956.SZ,2139879413.07,1061938870.69,
300956.SZ,2139879413.07,1061938870.69,
300956.SZ,2087582794.56,1026367300.67,
300956.SZ,2155833835.38,1075281772.15,
300956.SZ,2155833835.38,1075281772.15,
300956.SZ,1708053850.56,1027829128.23,
300956.SZ,1708053850.56,1027829128.23,
300956.SZ,1408801656.18,775726029.04,
300956.SZ,1408801656.18,775726029.04,
300956.SZ,1338982917.21,758397278.35,
300956.SZ,1338982917.21,758397278.35,
300956.SZ,1121143891.59,702709903.7,
300956.SZ,761582629.83,461312715.43,
