ts_code,total_assets,total_liab,goodwill
920809.BJ,5873383603.21,3241543978.55,
920809.BJ,5488106334.38,2735441882.37,
920809.BJ,5488106334.38,2735441882.37,
920809.BJ,6506597120.32,3462272440.26,
920809.BJ,5970423173.81,3588089838.84,
920809.BJ,5970423173.81,3588089838.84,
920809.BJ,5970423173.81,3588089838.84,
920809.BJ,4986061714.21,2573773708.61,
920809.BJ,2887725431.94,1741421457.38,
920809.BJ,2887725431.94,1741421457.38,
920809.BJ,1138764021.0,226112156.25,
920809.BJ,1138764021.0,226112156.25,
920809.BJ,1293274024.59,185229689.65,
920809.BJ,1293274024.59,185229689.65,
