ts_code,total_assets,total_liab,goodwill
301110.SZ,1524972122.06,136882828.5,
301110.SZ,1527473321.4,145263607.7,
301110.SZ,1557250050.88,150518982.09,0.0
301110.SZ,602408674.47,164464413.83,
301110.SZ,602408674.47,164464413.83,
301110.SZ,598676681.3,160732420.66,
301110.SZ,598676681.3,160732420.66,
301110.SZ,458144814.38,105536205.18,
301110.SZ,376114778.49,93120147.05,
301110.SZ,376114778.49,93120147.05,
301110.SZ,217971451.58,41063578.41,
301110.SZ,217971451.58,41063578.41,
301110.SZ,190005476.94,39453465.53,
