ts_code,total_assets,total_liab,goodwill
301303.SZ,3539581764.23,569851485.67,
301303.SZ,3473094783.75,580723058.89,
301303.SZ,3473094783.75,580723058.89,
301303.SZ,3520554241.11,630232747.7,
301303.SZ,3520554241.11,630232747.7,
301303.SZ,1788248574.51,806528529.09,
301303.SZ,1788248574.51,806528529.09,
301303.SZ,1603671533.48,704116498.61,
301303.SZ,1521740556.27,679768269.58,
301303.SZ,1393064378.86,571133168.89,
301303.SZ,1393064378.86,571133168.89,
301303.SZ,1133677311.91,479254061.79,
301303.SZ,1133677311.91,479254061.79,
301303.SZ,856312701.38,321455265.94,
301303.SZ,856312701.38,321455265.94,
