ts_code,total_assets,total_liab,goodwill
920478.BJ,520197953.72,59551813.4,
920478.BJ,514796284.12,56818203.34,
920478.BJ,514796284.12,56818203.34,
920478.BJ,500231235.48,52303707.0,
920478.BJ,500231235.48,52303707.0,
920478.BJ,380716880.35,55857207.55,
920478.BJ,380716880.35,55857207.55,
920478.BJ,380716880.35,55857207.55,
920478.BJ,369611046.55,64983343.17,
920478.BJ,344017305.82,62651097.88,
920478.BJ,344017305.82,62651097.88,
920478.BJ,311748357.22,53617455.44,
920478.BJ,245156070.6,33681894.3,
