ts_code,total_assets,total_liab,goodwill
300935.SZ,1000653788.41,57080220.19,
300935.SZ,1000653788.41,57080220.19,
300935.SZ,1002142394.76,58523538.76,
300935.SZ,995446651.95,22129729.33,
300935.SZ,270890146.48,37523245.43,
300935.SZ,270890146.48,37523245.43,
300935.SZ,241163732.51,20654939.52,
300935.SZ,241143507.57,31481263.62,
300935.SZ,241143507.57,31481263.62,
300935.SZ,220424812.47,33294506.63,
300935.SZ,220424812.47,33294506.63,
300935.SZ,173473384.65,26799605.83,
300935.SZ,139874848.61,25046345.69,
