ts_code,total_assets,total_liab,goodwill
920252.BJ,342192656.13,87685682.31,
920252.BJ,331352400.66,77235055.43,
920252.BJ,331352400.66,77235055.43,
920252.BJ,337790860.9,79309634.53,
920252.BJ,337790860.9,79309634.53,
920252.BJ,256832349.66,114099184.39,
920252.BJ,256832349.66,114099184.39,
920252.BJ,265280313.85,141539383.79,
920252.BJ,306971316.62,194843026.89,
920252.BJ,306971316.62,194843026.89,
920252.BJ,165350530.57,127367681.73,
920252.BJ,165350530.57,127367681.73,
920252.BJ,99103193.19,80486314.45,
920252.BJ,99103193.19,80486314.45,
