ts_code,total_assets,total_liab,goodwill
300936.SZ,914543012.26,44113645.29,
300936.SZ,914543012.26,44113645.29,
300936.SZ,919207004.25,63982578.39,
300936.SZ,947376021.19,67329218.62,
300936.SZ,947376021.19,67329218.62,
300936.SZ,444786476.0,84997708.75,
300936.SZ,444786476.0,84997708.75,
300936.SZ,437225142.47,93134923.47,
300936.SZ,419579628.32,92085955.6,
300936.SZ,419579628.32,92085955.6,
300936.SZ,375198286.42,73187330.76,
300936.SZ,375198286.42,73187330.76,
300936.SZ,284349735.99,30043680.17,
300936.SZ,186029447.6,30138660.61,
