ts_code,total_assets,total_liab,goodwill
920273.BJ,635739827.5,65282182.3,
920273.BJ,613036311.86,58381065.43,
920273.BJ,613036311.86,58381065.43,
920273.BJ,707800073.17,153178193.93,
920273.BJ,547418014.11,168702905.67,
920273.BJ,547418014.11,168702905.67,
920273.BJ,404060213.97,48855111.5,
920273.BJ,420565943.13,107192370.48,
920273.BJ,420565943.13,107192370.48,
920273.BJ,426376642.36,148976720.7,
920273.BJ,426376642.36,148976720.7,
920273.BJ,339637277.55,177389391.03,
920273.BJ,339637277.55,177389391.03,
