ts_code,total_assets,total_liab,goodwill
688352.SH,7091466405.82,1387708221.21,871656425.06
688352.SH,6659722391.94,1078582991.13,872017075.83
688352.SH,6659722391.94,1078582991.13,872017075.83
688352.SH,4632772417.28,1377176721.96,872377726.46
688352.SH,4823070377.17,1599825319.9,872738377.16
688352.SH,4823070377.17,1599825319.9,872738377.16
688352.SH,4420198205.49,1507241149.23,874740416.52
688352.SH,4420198205.49,1507241149.23,874740416.52
688352.SH,3819106334.81,1220633632.19,876965254.55
688352.SH,3653576093.04,1147604141.5,879679602.72
