ts_code,total_assets,total_liab,goodwill
920422.BJ,538523599.16,106046909.76,5391823.13
920422.BJ,530884606.23,101914228.23,5391823.13
920422.BJ,530884606.23,101914228.23,5391823.13
920422.BJ,602887979.51,156981957.93,5391823.13
920422.BJ,480083218.48,190546696.95,5391823.13
920422.BJ,480083218.48,190546696.95,5391823.13
920422.BJ,480083218.48,190546696.95,5391823.13
920422.BJ,477032419.55,219046634.18,5391823.13
920422.BJ,481512626.47,266776673.55,5391823.13
920422.BJ,481512626.47,266776673.55,5391823.13
920422.BJ,412471111.64,242158695.17,5391823.13
920422.BJ,287174810.27,149100829.3,5391823.13
