ts_code,total_assets,total_liab,goodwill
301439.SZ,3655173527.95,908956659.32,
301439.SZ,3385532675.91,690528792.82,
301439.SZ,3385532675.91,690528792.82,
301439.SZ,3373077051.45,679396972.68,
301439.SZ,1755342634.88,800451535.78,
301439.SZ,1755342634.88,800451535.78,
301439.SZ,1755342634.88,800451535.78,
301439.SZ,1755897634.46,838054247.42,
301439.SZ,1951768916.36,1183770694.53,
301439.SZ,1951768916.36,1183770694.53,
301439.SZ,1559561601.98,948952457.81,
301439.SZ,1559561601.98,948952457.81,
301439.SZ,1102391577.03,613000131.36,
301439.SZ,1102391577.03,613000131.36,
