ts_code,total_assets,total_liab,goodwill
603759.SH,5139467730.73,2892195463.76,
603759.SH,5139467730.73,2892195463.76,
603759.SH,5066854784.48,2869157776.9,
603759.SH,5347121607.1,3156850560.17,
603759.SH,5347121607.1,3156850560.17,
603759.SH,4393931301.96,3007031777.09,
603759.SH,4393931301.96,3007031777.09,
603759.SH,3866223975.13,2602368942.48,
603759.SH,3866223975.13,2602368942.48,
603759.SH,3387393475.12,2187051561.43,
603759.SH,3387393475.12,2187051561.43,
603759.SH,2942131017.45,1914524307.51,
603759.SH,2708021799.97,1802892751.54,9357619.85
