ts_code,total_assets,total_liab,goodwill
600032.SH,37579615089.94,25866646474.54,82404571.39
600032.SH,37579615089.94,25866646474.54,82404571.39
600032.SH,31723490572.23,20597210112.76,82404571.39
600032.SH,30889748043.91,20740226941.22,82404571.39
600032.SH,30889748043.91,20740226941.22,82404571.39
600032.SH,29772924369.04,19648162596.72,82404571.39
600032.SH,29772924369.04,19648162596.72,82404571.39
600032.SH,24191869030.62,14485356043.7,83869685.08
600032.SH,24191869030.62,14485356043.7,83869685.08
600032.SH,17272800771.21,9805841042.16,93802033.53
