ts_code,total_assets,total_liab,goodwill
688167.SH,850513946.39,167833325.08,75431618.76
688167.SH,850513946.39,167833325.08,75431618.76
688167.SH,822125737.32,159246296.77,76555101.54
688167.SH,822125737.32,159246296.77,76555101.54
688167.SH,820320175.35,185354132.11,78911980.61
688167.SH,820320175.35,185354132.11,78911980.61
688167.SH,820320175.35,185354132.11,78911980.61
688167.SH,791476543.76,165146812.28,78697023.22
688167.SH,606083414.3,179884451.81,77454583.43
688167.SH,606083414.3,179884451.81,77454583.43
688167.SH,606083414.3,179884451.81,77454583.43
688167.SH,688307816.87,177693768.83,135037617.85
688167.SH,688307816.87,177693768.83,135037617.85
688167.SH,625339385.26,136526268.98,122772203.12
