ts_code,total_assets,total_liab,goodwill
600905.SH,196549279656.37,123505427311.23,810993459.67
600905.SH,196549279656.37,123505427311.23,810993459.67
600905.SH,185085362497.37,112131190044.43,810993459.67
600905.SH,155689307396.92,107397123396.78,686380534.95
600905.SH,142576355736.68,96140887684.68,686380534.95
600905.SH,142576355736.68,96140887684.68,686380534.95
600905.SH,120386528247.2,75459389902.63,281044259.74
600905.SH,100050043415.81,58354515215.25,281044259.74
600905.SH,100050043415.81,58354515215.25,281044259.74
600905.SH,85086792322.36,41907584962.46,392620822.03
600905.SH,68042257465.45,40454886445.05,392620822.03
