ts_code,total_assets,total_liab,goodwill
301229.SZ,1075099368.67,313648668.8,28037752.7
301229.SZ,944573854.65,195029981.78,
301229.SZ,1007694501.87,252115599.48,
301229.SZ,631115529.74,201462985.44,
301229.SZ,631115529.74,201462985.44,
301229.SZ,631115529.74,201462985.44,
301229.SZ,589532076.83,178058714.39,
301229.SZ,589532076.83,178058714.39,
301229.SZ,567711037.34,163251695.04,
301229.SZ,569456690.38,197071614.78,
301229.SZ,569456690.38,197071614.78,
301229.SZ,496827447.08,187300426.62,
301229.SZ,496827447.08,187300426.62,
301229.SZ,362437001.57,170327406.61,
